@relation cloudstack

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
15,15,845,9,8,49,41,0
116,0,683,3,3,424,309,1
19,5,743,5,4,442,411,1
105,0,846,2,1,58,52,0
35,228,700,23,19,413,300,1
159,63,694,17,13,363,290,1
301,0,881,24,23,440,402,1
38,2,469,3,0,288,189,1
10,2,630,3,2,389,269,1
156,0,623,1,0,347,248,1
461,0,1065,10,8,77,69,0
65,0,873,19,17,441,399,0
65,181,689,9,8,412,309,1
60,1,682,8,4,361,272,1
26,0,1165,9,1,151,131,1
442,0,1467,1,0,23,14,1
8,0,650,2,1,384,262,1
70,6,650,13,12,362,267,1
51,1,660,10,4,359,263,1
21,0,1200,11,9,203,186,1
67,0,841,4,2,441,415,0
7,17,766,20,17,372,322,0
73,8,846,5,3,443,417,0
46,0,1197,33,32,200,183,0
113,0,234,2,0,157,66,0
36,49,644,22,18,367,246,1
13,0,650,2,1,381,259,1
14,18,1206,11,11,164,152,0
171,0,682,7,2,360,273,1
197,63,755,14,13,374,315,1
115,55,661,16,15,378,271,1
142,0,617,3,1,351,239,1
26,0,639,26,17,381,259,1
115,77,682,21,20,413,306,0
8,0,1221,5,4,224,204,0
149,20,631,10,8,361,241,0
67,0,1261,19,18,263,247,0
45,0,847,1,0,52,46,1
21,0,788,1,0,434,395,1
174,0,710,7,4,388,301,0
92,0,1183,1,0,184,172,1
39,0,686,6,3,415,299,1
75,0,1203,1,0,188,173,0
139,15,715,25,16,428,297,1
101,0,768,16,15,439,399,0
25,0,1278,4,0,26,19,1
119,5,642,6,5,366,265,1
39,8,689,9,6,416,300,1
41,56,660,17,15,380,270,0
33,0,759,1,0,454,415,1
10,18,938,6,1,431,399,1
4,82,806,14,14,446,414,1
33,19,1128,31,21,300,270,1
54,24,686,24,19,430,315,1
31,0,646,6,4,382,259,1
1,0,1202,1,0,111,102,0
41,0,697,7,5,420,299,1
15,0,1216,3,1,198,182,1
30,31,700,28,27,425,312,0
10,1,611,1,0,351,233,1
303,65,667,19,13,359,266,1
1,0,2257,1,0,3,1,1
15,93,806,45,41,442,413,0
213,0,1160,1,0,89,83,0
40,0,1260,15,9,253,229,0
118,18,702,11,9,418,305,1
195,0,881,18,17,439,402,1
51,101,266,31,24,160,74,1
15,8,806,10,8,462,425,1
40,0,773,6,3,444,412,1
41,12,620,19,7,379,260,1
60,42,791,9,8,435,398,0
17,0,1260,45,44,254,229,0
11,61,961,20,20,407,382,0
21,49,644,23,18,368,246,1
10,11,1169,22,11,289,258,0
64,0,1257,43,42,250,227,0
42,7,639,17,10,377,259,1
70,23,678,22,19,430,310,1
84,0,1191,1,0,173,159,1
64,28,622,10,10,347,244,0
143,63,618,19,18,379,262,1
27,14,870,8,4,47,36,0
130,49,788,12,10,423,388,1
34,17,781,8,7,458,418,1
9,12,801,17,15,423,386,1
23,1,827,1,0,54,46,0
5,135,964,109,101,398,370,0
30,11,1169,19,11,286,258,0
68,0,944,3,2,446,410,1
23,5,1212,12,9,192,177,1
187,3,938,5,4,438,401,1
35,0,877,6,5,448,420,1
5,5,1207,11,8,192,174,0
21,0,670,4,3,387,279,1
147,15,746,6,5,444,411,0
51,0,650,27,19,406,283,1
105,0,1235,2,0,281,261,1
8,0,760,33,31,447,417,1
8,0,607,9,3,383,254,1
6,5,1207,10,8,191,174,0
14,0,767,5,3,451,406,1
26,32,794,9,7,456,414,0
174,0,710,8,5,389,302,1
37,226,687,17,15,416,308,0
25,4,806,7,6,444,411,0
22,6,835,4,2,60,52,0
26,0,237,1,0,139,62,1
11,0,943,2,1,433,403,0
33,19,235,19,12,158,64,0
