@relation cocoon

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,90}


@data
54,0,0,1,0,1,0,0
171,0,928,1,0,160,0,90
146,0,0,1,0,103,0,90
104,0,674,7,2,52,19,0
103,0,1078,3,0,120,0,90
424,0,896,1,0,161,0,90
40,0,13,1,0,10,3,0
77,0,253,2,2,26,9,0
234,0,924,1,0,81,0,90
107,0,1132,1,0,117,0,90
84,0,607,1,0,63,28,90
23,0,726,15,11,56,27,90
31,0,0,1,0,54,0,90
67,0,0,1,0,116,0,90
281,0,1059,1,0,101,0,90
185,0,439,1,0,75,0,90
107,0,626,3,0,47,17,0
79,0,988,6,0,113,0,90
140,0,912,3,0,85,0,90
21,0,0,4,0,73,0,90
157,0,809,1,0,95,0,90
136,0,254,1,0,71,0,90
66,0,1055,3,0,115,0,90
135,0,0,4,0,112,0,90
168,0,0,6,0,124,0,90
76,0,727,1,0,86,0,90
25,0,820,2,0,90,0,90
301,0,528,1,0,83,0,90
151,0,0,1,0,20,2,90
32,0,959,1,0,102,0,90
42,0,722,12,2,54,22,0
238,0,327,1,0,83,0,90
19,0,422,10,0,78,22,0
59,0,223,2,0,68,0,90
160,0,328,3,0,21,5,0
74,0,1059,3,0,99,0,90
76,0,0,1,0,43,0,90
102,0,809,2,0,85,0,90
68,0,0,1,0,86,0,90
48,0,0,1,0,103,0,90
86,0,0,1,0,109,0,90
77,0,504,1,0,103,0,90
70,0,540,1,0,75,31,0
96,0,1021,1,0,107,0,90
19,0,13,1,0,12,4,0
63,0,368,5,0,88,0,90
96,0,0,1,0,103,0,90
67,0,924,2,0,101,0,90
66,0,420,6,0,91,0,90
52,0,707,1,0,54,24,0
47,6,13,2,1,13,4,0
159,0,897,1,0,163,0,90
49,0,0,3,0,111,0,90
98,0,564,4,1,50,10,0
85,0,414,1,0,60,0,90
89,0,804,3,2,51,24,0
99,0,1039,1,0,98,0,90
161,0,973,1,0,165,0,90
27,0,910,2,0,97,0,90
67,0,0,1,0,102,0,90
34,0,0,2,0,100,0,90
58,0,356,1,0,86,0,90
58,0,0,3,0,35,0,90
155,0,920,3,0,84,0,90
128,0,917,1,0,160,0,90
64,0,1062,1,0,120,0,90
44,0,0,1,0,84,0,90
49,0,0,4,0,103,0,90
23,0,0,4,0,125,0,90
255,0,509,1,0,63,20,0
42,0,0,1,0,112,0,90
81,0,265,14,4,107,11,0
28,0,955,6,0,150,0,90
44,0,12,1,0,13,3,0
441,0,960,9,0,80,0,90
16,0,552,1,0,104,0,90
176,0,0,1,0,102,0,90
155,0,547,5,0,88,30,0
98,0,63,1,0,6,2,0
123,0,0,1,0,34,0,90
245,0,922,9,0,160,0,90
429,0,998,1,0,104,0,90
91,0,892,2,0,95,0,90
17,0,695,5,0,49,18,0
22,0,66,1,0,12,6,0
111,0,2,1,0,84,0,90
29,0,247,2,0,66,0,90
15,0,0,8,0,68,0,90
390,0,583,2,0,54,16,90
50,0,0,11,0,127,0,90
38,0,0,2,0,125,0,90
39,0,254,1,0,69,0,90
127,0,534,4,1,44,12,0
497,0,871,1,0,100,0,90
42,0,1045,10,0,123,0,90
86,0,0,2,0,33,0,90
531,0,869,1,0,81,0,90
113,0,0,3,0,61,0,90
91,0,897,1,0,163,0,90
64,0,298,1,0,57,0,90
130,0,945,1,0,94,0,90
221,0,0,2,0,106,0,90
56,0,397,1,0,78,15,0
16,0,33,1,0,25,13,90
29,0,0,10,0,71,0,90
61,0,537,5,2,62,24,90
76,0,1099,3,0,123,0,90
33,0,456,5,0,82,0,90
74,0,0,1,0,32,0,90
54,0,964,5,0,163,0,90
4,0,0,1,0,54,0,90
44,0,0,1,0,6,1,90
90,0,721,1,0,53,23,90
6,0,10,1,1,7,1,90
25,0,60,3,0,25,7,0
68,0,0,1,0,44,0,90
105,0,0,1,0,101,0,90
144,0,2,4,0,84,0,90
63,0,501,13,6,46,19,0
62,0,0,4,0,35,0,90
79,0,939,2,0,169,0,90
20,0,0,7,0,53,0,90
605,0,349,1,0,82,0,90
18,0,0,4,0,111,0,90
164,0,904,1,0,162,0,90
103,0,925,1,0,82,0,90
189,0,0,1,0,104,0,90
97,0,159,6,3,24,10,90
159,0,13,3,0,12,4,0
15,0,0,3,0,107,0,90
39,17,372,2,0,99,6,90
20,0,366,1,0,84,0,90
211,0,0,3,0,104,0,90
102,0,0,1,0,19,0,90
65,0,422,11,0,79,22,0
75,0,0,2,0,34,0,90
128,0,966,2,0,102,0,90
40,0,0,1,0,36,0,90
68,0,337,1,0,82,0,90
71,0,0,5,0,109,0,90
369,0,571,1,0,79,0,90
28,0,0,2,0,107,0,90
49,0,926,1,0,169,0,90
165,0,885,1,0,95,0,90
39,0,1021,1,0,106,0,90
84,0,364,1,0,81,0,90
86,0,744,5,0,89,0,90
192,0,345,1,0,85,12,90
29,0,955,6,0,101,0,90
24,0,379,29,15,58,26,0
40,0,0,1,0,2,1,0
89,0,0,1,0,109,0,90
33,0,0,2,0,108,0,90
29,0,513,1,0,93,0,90
33,0,1033,2,0,85,0,90
111,0,1120,3,0,124,0,90
73,0,1080,3,0,119,0,90
33,0,0,2,0,120,0,90
47,0,426,13,0,82,22,0
37,0,918,2,0,93,0,90
141,0,0,1,0,44,0,90
88,0,532,1,0,99,49,0
155,0,0,1,0,55,0,90
158,0,504,1,0,105,0,90
201,0,0,1,0,126,0,90
87,0,793,4,2,56,26,90
52,0,0,3,0,100,0,90
72,0,243,1,0,63,0,90
210,0,968,2,0,98,0,90
65,0,0,1,0,94,0,90
28,0,0,2,1,6,1,90
112,0,643,1,0,94,33,0
33,0,422,6,0,75,22,0
46,0,675,8,3,51,20,0
127,0,446,1,0,45,20,0
20,0,888,20,0,133,0,90
18,0,0,4,0,115,0,90
19,0,0,2,0,111,0,90
221,0,1082,2,0,119,0,90
73,0,475,1,0,74,0,90
267,0,887,2,0,82,0,90
10,0,955,2,0,154,0,90
59,0,921,3,0,162,0,90
179,0,336,1,0,68,0,90
86,0,369,1,0,78,14,90
75,0,0,3,0,104,0,90
13,0,378,2,0,86,0,90
95,0,1039,1,0,114,0,90
91,0,0,2,0,56,0,90
43,0,339,1,0,78,0,90
97,0,625,1,0,76,0,90
53,0,0,2,0,106,0,90
1040,0,979,1,0,165,0,90
18,0,0,1,0,6,0,90
56,0,0,2,0,103,0,90
166,0,0,1,0,123,0,90
18,0,0,2,0,113,0,90
32,0,693,3,2,49,21,0
60,0,930,2,0,82,0,90
30,0,0,2,0,94,0,90
38,0,943,2,0,100,0,90
302,0,590,2,0,114,0,90
89,0,336,1,0,39,25,0
44,0,444,1,0,56,19,0
100,0,962,1,0,103,0,90
16,0,0,3,0,121,0,90
156,0,1126,1,0,125,0,90
85,0,424,1,0,82,0,90
161,0,588,1,0,86,32,0
21,0,0,2,0,95,0,90
25,0,11,2,0,22,8,90
17,0,76,2,0,27,12,90
15,0,0,2,0,85,0,90
274,0,1066,4,0,118,0,90
74,0,530,5,0,98,0,90
161,0,514,1,0,83,0,90
71,0,13,1,1,21,5,0
53,0,930,1,0,81,0,90
31,0,0,1,0,113,0,90
120,0,0,3,0,59,0,90
28,0,612,6,4,56,19,0
81,0,0,3,0,116,0,90
146,0,243,1,0,65,0,90
116,0,0,2,0,120,0,90
19,0,353,7,3,38,16,0
65,6,25,1,0,11,6,0
84,0,956,1,0,104,0,90
89,0,0,1,0,109,0,90
35,0,444,5,0,21,4,0
38,0,1126,2,0,123,0,90
32,0,42,4,2,25,12,0
306,0,556,6,1,93,31,90
34,0,0,1,0,98,0,90
21,0,354,2,0,78,0,90
119,0,108,1,0,85,0,90
665,0,420,2,0,83,0,90
230,0,109,2,0,24,13,90
494,0,1042,1,0,104,0,90
93,0,668,7,1,47,21,0
74,0,0,1,0,102,0,90
285,0,560,1,0,55,19,90
77,0,2,6,0,85,0,90
38,0,943,1,0,99,0,90
44,0,0,1,0,115,0,90
110,0,599,1,0,84,32,90
54,0,626,1,0,46,17,0
77,0,0,1,0,118,0,90
21,0,353,9,3,40,16,0
85,0,0,1,0,55,0,90
55,0,0,5,0,119,0,90
160,0,0,1,0,121,0,90
70,0,624,2,3,47,20,0
95,0,1106,1,0,124,0,90
95,0,0,2,0,54,0,90
55,0,1029,1,0,113,0,90
33,0,0,10,0,124,0,90
46,0,1057,1,0,115,0,90
102,0,0,1,0,51,0,90
27,0,534,4,2,61,24,0
123,0,319,1,0,51,0,90
109,0,917,1,0,102,0,90
68,0,261,1,0,108,11,90
30,0,0,2,0,123,0,90
127,0,353,6,3,32,13,0
27,0,265,5,0,73,0,90
172,0,270,4,0,64,0,90
90,0,0,1,0,49,0,90
56,0,950,1,0,106,0,90
155,0,500,2,0,62,21,0
55,0,0,1,0,119,0,90
26,0,1001,1,0,105,0,90
100,0,0,1,0,108,0,90
40,0,0,1,0,39,0,90
45,0,333,2,0,84,0,90
392,0,553,4,1,95,40,90
108,0,0,1,0,104,0,90
85,0,402,1,0,89,0,90
62,0,0,1,0,104,0,90
64,0,0,1,0,120,0,90
220,0,0,2,0,9,0,90
94,0,425,1,0,81,0,90
39,0,420,1,0,82,0,90
72,8,27,5,1,12,5,0
64,0,630,1,0,45,17,0
241,0,9,1,0,11,1,90
74,0,335,1,0,67,0,90
69,0,911,6,0,88,0,90
134,0,920,1,0,80,0,90
152,0,244,1,0,65,0,90
36,0,36,3,0,9,4,0
492,0,0,1,0,107,0,90
23,0,422,4,0,73,22,0
281,0,381,1,0,81,0,90
88,0,0,2,0,109,0,90
43,0,235,1,0,19,8,0
1372,0,691,1,0,93,0,90
39,0,0,3,0,12,1,90
86,0,549,4,0,103,0,90
52,0,0,2,0,117,0,90
65,0,1133,3,0,120,0,90
53,0,923,1,0,95,0,90
150,0,14,1,0,9,3,90
178,0,1062,1,0,121,0,90
33,0,500,3,1,45,18,0
23,0,887,1,0,80,0,90
145,0,0,1,0,91,0,90
105,0,818,7,0,89,0,90
18,0,1,1,0,5,1,90
59,0,76,3,0,25,12,90
58,0,356,2,0,57,27,90
82,0,0,2,1,15,2,90
123,0,0,2,0,117,0,90
49,8,27,4,1,10,5,0
91,0,951,1,0,96,0,90
31,0,12,4,1,15,4,0
71,0,577,1,0,105,0,90
61,0,951,1,0,161,0,90
49,0,0,8,0,110,0,90
19,0,316,5,0,69,0,90
81,0,502,2,0,88,24,0
162,0,0,1,0,35,0,90
84,0,431,2,0,97,0,90
74,0,0,3,0,100,0,90
44,0,189,1,0,34,10,0
113,0,0,2,0,3,0,0
33,0,1049,1,0,84,0,90
207,0,0,1,0,106,0,90
50,0,691,6,0,48,19,90
87,0,792,5,2,52,24,0
25,0,0,2,0,106,0,90
48,0,301,1,0,36,25,90
186,0,952,4,0,104,0,90
22,0,0,3,0,112,0,90
41,0,0,5,0,125,0,90
1218,0,295,1,0,62,0,90
329,0,246,2,0,65,0,90
81,0,0,2,0,99,0,90
33,0,466,1,0,85,0,90
54,0,0,3,0,64,0,90
66,0,525,1,0,42,15,0
57,0,225,1,0,17,6,0
159,0,536,3,0,110,0,90
31,0,457,23,2,89,24,0
23,0,0,2,0,113,0,90
56,0,354,1,0,68,0,90
248,0,0,2,0,88,0,90
374,0,21,1,0,27,13,90
36,0,0,2,0,111,0,90
11,0,949,5,0,112,0,90
14,0,567,5,0,114,0,90
43,0,993,1,0,163,0,90
87,0,538,2,1,94,38,0
146,0,0,5,0,48,0,90
