@relation hive

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,7}


@data
8,0,107,5,0,307,2,7
419,0,646,3,0,896,123,0
63,0,81,3,0,171,0,0
51,0,777,1,0,1019,298,0
23,0,689,1,0,953,7,0
4,3,529,2,1,836,2,7
7,2,407,1,0,641,33,7
27,3,500,4,1,819,2,7
9,0,772,1,0,1031,1,0
14,0,707,1,0,945,123,0
4,0,466,1,0,724,15,0
64,0,810,1,0,1059,327,0
2,0,759,3,0,1042,216,0
10,0,411,1,0,641,22,7
2,0,449,1,0,641,1,0
4,3,529,1,0,834,1,0
34,0,405,1,0,652,5,0
5,3,499,3,1,811,2,0
3,0,333,1,0,534,0,0
10,0,351,1,0,532,19,0
68,0,461,1,0,757,6,0
4,0,520,1,0,834,0,0
31,0,707,2,0,944,123,7
11,2,416,2,0,656,15,7
6,0,111,1,0,235,0,0
376,0,657,1,0,898,130,0
3,0,755,2,1,1006,164,0
31,0,599,20,2,852,26,7
1610,16,760,59,35,1044,216,7
11,0,116,15,0,195,1,7
14,0,580,22,0,841,2,7
4,121,793,32,1,1080,1,7
78,0,498,53,1,808,6,7
356,0,127,2,0,218,1,7
88,0,95,15,0,172,0,7
36,0,123,49,6,329,0,7
17,0,34,10,0,86,0,7
151,0,122,40,0,212,0,7
163,0,529,79,1,816,4,7
54,0,482,13,0,790,3,7
87,0,741,12,6,985,142,7
503,0,562,3,0,818,2,7
49,0,108,11,0,215,0,7
32,0,11,3,0,15,0,7
10,0,542,26,2,837,4,7
63,0,844,26,0,1094,1,7
142,0,387,31,0,658,4,7
11,0,768,76,10,1054,213,7
26,0,438,31,0,647,1,7
20,0,559,88,4,812,29,7
21,0,146,15,0,270,0,7
53,44,58,26,0,170,0,7
94,0,522,2,0,769,2,7
7,0,121,18,0,197,0,7
43,42,779,22,9,1058,197,7
144,0,590,7,2,853,16,7
63,0,125,1,0,210,39,7
26,0,563,45,0,818,2,7
119,0,750,24,0,1033,1,7
117,0,546,40,8,834,8,7
28,0,633,56,8,917,12,7
46,0,469,13,0,819,3,7
37,0,773,55,6,1047,220,7
18,0,487,73,1,827,2,7
290,0,500,14,2,870,0,7
14,0,497,122,2,851,0,7
91,35,691,18,0,949,10,7
35,0,527,41,1,811,4,7
34,0,210,2,0,461,0,7
37,0,450,38,2,645,1,7
20,52,138,63,0,219,0,7
20,0,112,21,0,205,0,7
11,0,741,76,10,987,141,7
30,19,386,39,2,634,1,7
19,0,82,7,0,154,0,7
43,52,138,70,0,230,0,7
71,0,149,4,0,325,5,7
142,0,154,41,42,398,0,7
19,0,128,16,0,211,0,7
13,0,668,36,21,911,79,7
33,0,116,3,0,239,2,7
63,0,224,1,0,469,0,7
26,0,514,4,2,804,3,7
9,0,390,63,1,667,7,7
19,0,121,6,0,211,0,7
27,0,351,19,0,541,1,7
85,0,283,1,7,505,0,7
5,0,798,13,1,1079,1,7
7,0,98,18,0,177,0,7
72,0,393,34,1,722,7,7
55,0,652,6,5,895,132,7
61,0,456,80,1,795,3,7
30,0,333,11,0,540,1,7
12,0,96,54,0,149,1,7
57,0,52,11,0,134,0,7
193,0,654,47,34,867,143,7
25,0,781,82,10,1042,199,7
52,0,460,14,1,806,3,7
5,0,489,18,1,838,0,7
107,0,128,1,0,203,0,7
5,0,545,66,10,829,8,7
48,0,141,6,0,260,0,7
12,0,628,25,0,885,49,7
10,0,126,26,1,218,1,7
68,0,34,2,0,91,0,7
75,0,402,25,0,640,1,7
81,0,149,8,0,325,5,7
18,0,686,77,10,927,91,7
38,0,509,66,1,823,4,7
12,0,283,10,0,506,0,7
31,0,106,4,0,232,1,7
