@relation kafka

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,30}


@data
21,2,105,3,1,247,20,30
14,4,325,11,4,925,348,0
5,19,386,57,21,896,396,0
11,0,103,1,0,268,21,0
36,33,340,82,39,925,371,0
16,42,399,78,47,927,409,0
6,27,341,31,31,867,357,0
6,0,348,20,19,824,359,0
1,0,325,1,0,847,335,30
23,0,281,14,6,752,301,0
8,10,121,1,0,293,41,30
9,0,353,22,21,829,364,0
7,35,278,62,43,771,302,0
19,3,316,12,6,802,330,0
8,31,358,70,33,895,377,0
28,0,146,12,7,402,88,0
19,27,307,28,28,805,314,0
7,1,299,2,1,775,314,0
20,0,300,38,36,771,314,0
7,0,371,1,0,960,393,0
4,19,163,56,23,482,129,0
1,0,364,1,0,860,374,30
37,0,353,8,4,887,369,0
6,0,161,36,16,477,128,0
13,22,276,27,25,746,293,0
51,42,305,76,50,802,312,0
91,0,145,6,3,416,97,0
15,8,315,11,9,801,328,0
11,0,292,11,6,763,305,0
25,0,270,12,10,743,292,30
23,35,279,57,43,757,302,0
17,0,190,22,2,559,179,0
8,0,104,13,3,248,20,30
16,28,371,66,30,888,388,0
20,0,354,10,9,941,384,0
5,0,343,54,32,864,357,0
40,11,150,43,9,446,116,0
16,32,350,71,34,886,368,0
5,0,332,2,0,904,363,0
8,0,153,33,15,454,119,0
8,18,344,23,19,918,379,0
12,16,381,20,18,908,397,0
27,0,73,2,0,138,11,30
15,0,371,1,0,948,393,0
19,1,337,3,1,903,368,0
6,27,396,31,31,919,408,30
45,32,340,76,34,869,356,0
28,10,325,11,9,800,336,0
8,38,374,73,41,890,385,0
5,0,338,1,0,900,351,0
37,26,305,27,27,801,312,0
11,23,339,25,23,908,371,0
33,17,157,54,21,462,124,0
20,0,273,1,0,748,297,0
11,0,309,38,35,786,321,0
16,0,42,1,0,118,3,30
7,15,364,43,16,868,378,0
6,0,127,19,7,311,52,0
34,0,190,4,3,546,174,0
29,12,335,18,16,919,363,0
4,0,348,19,18,824,359,0
5,0,399,1,0,929,408,0
8,40,381,76,44,896,390,0
7,25,286,27,27,788,300,0
95,0,373,5,3,885,389,30
30,2,184,11,4,542,173,0
