@relation ofbiz

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,7}


@data
56,0,275,47,10,108,34,7
289,0,1191,4,1,363,207,7
40,0,1402,9,5,371,245,0
1485,0,777,2,0,180,112,0
24,0,781,4,9,201,112,7
392,0,716,1,0,288,122,7
51,0,1374,4,1,301,165,7
14,0,1232,3,1,234,148,7
141,0,894,2,1,249,136,7
25,0,1115,24,16,264,178,0
48,0,1165,2,1,344,204,7
56,0,525,17,10,176,83,0
103,0,929,1,0,149,82,7
73,0,375,5,2,148,32,7
55,0,276,2,7,97,26,0
76,0,1321,33,27,265,128,0
45,0,302,10,11,269,107,0
97,0,744,6,6,286,120,0
138,0,424,1,0,97,50,7
109,0,994,15,17,263,155,7
34,0,887,10,15,229,151,7
12,0,1244,9,3,242,146,7
7,0,304,89,58,239,100,7
50,0,278,7,0,170,81,0
53,0,1117,1,1,195,87,7
42,0,1190,4,0,310,178,7
14,0,1386,30,25,371,242,0
116,0,1168,16,12,186,117,7
34,0,721,2,1,310,144,7
19,0,1251,17,12,428,244,0
22,0,1184,10,6,192,120,0
4,0,1129,1,1,241,118,7
226,0,746,2,1,297,160,7
91,0,804,6,3,166,87,7
31,0,774,1,0,199,85,7
40,0,656,1,1,123,73,7
31,0,1189,2,0,273,151,0
32,0,679,2,1,172,88,0
140,0,704,5,2,268,104,7
6,0,310,6,18,255,104,0
220,0,1185,4,4,379,206,7
76,0,663,5,0,254,129,7
200,0,461,2,0,181,89,7
125,0,913,19,14,124,59,7
27,0,1270,7,5,329,213,0
20,0,961,1,1,280,149,0
96,0,538,4,3,126,61,7
90,0,920,26,9,274,160,7
93,0,181,18,14,170,75,7
11,0,1164,1,0,157,101,0
33,0,875,6,0,223,144,0
9,0,972,20,19,198,118,0
110,0,562,21,17,238,105,7
56,0,769,13,7,204,85,0
81,0,699,28,20,258,130,7
7,0,1233,1,0,242,148,0
3,0,1162,18,3,328,197,7
46,0,1154,3,2,343,198,7
159,0,487,2,1,176,96,0
32,0,744,1,0,318,155,0
47,0,173,2,1,158,65,0
18,0,176,8,7,84,33,7
22,0,327,5,4,104,58,0
121,0,630,1,0,253,138,7
188,0,600,1,0,258,136,7
86,0,899,3,2,123,81,7
112,0,276,43,8,110,34,0
16,0,906,1,5,216,126,7
86,0,1490,11,8,390,259,7
27,0,175,3,1,148,56,7
64,0,339,14,8,89,37,0
166,0,1137,19,15,121,71,7
37,0,700,23,8,272,105,7
54,0,809,5,2,212,115,0
43,0,1161,1,0,278,149,7
68,0,1175,6,4,346,196,7
52,0,1188,2,1,406,226,7
25,0,303,101,54,262,109,7
43,0,1188,3,2,317,221,0
242,0,892,1,2,263,160,7
36,0,150,3,1,84,30,0
32,0,303,108,54,271,107,7
42,0,1213,23,13,203,128,7
34,0,161,4,0,96,35,7
101,0,97,1,0,67,30,7
66,0,958,2,2,283,152,7
54,0,556,11,19,117,68,0
72,0,208,1,0,124,62,0
37,0,1188,4,3,384,209,7
89,0,269,2,1,114,40,0
71,0,222,117,54,272,111,7
110,0,820,5,3,259,147,0
94,0,1512,1,0,411,270,7
44,0,421,1,0,85,47,7
62,0,339,10,2,149,43,7
65,0,1245,15,6,359,195,7
52,0,957,1,0,270,138,7
27,0,632,2,0,127,81,7
50,0,831,2,0,251,135,0
162,0,568,10,8,96,54,7
83,0,1302,32,17,261,114,0
10,0,528,29,9,185,86,7
44,0,637,2,0,236,134,7
42,0,1159,8,1,283,162,7
22,0,817,26,19,254,135,0
153,0,711,60,21,294,126,0
77,0,604,5,1,247,134,0
123,0,1217,1,0,362,194,7
57,0,668,1,0,230,135,7
56,0,722,2,0,120,68,7
25,0,321,75,52,230,101,0
125,0,693,4,2,179,90,7
63,0,1113,14,11,329,223,7
71,0,0,1,0,2,0,7
121,0,253,15,7,91,21,0
59,0,539,17,14,125,60,0
42,0,258,6,5,74,34,0
12,0,1090,3,1,293,197,7
26,0,708,39,8,289,121,0
129,0,546,5,1,122,41,7
17,0,354,1,0,150,61,0
40,0,276,1,0,96,26,7
198,0,141,7,3,107,42,7
55,0,836,11,19,210,132,7
35,0,571,1,0,258,102,7
115,0,1318,29,17,360,237,7
14,0,791,25,20,253,146,7
43,0,731,10,9,164,93,0
137,0,563,3,0,133,64,7
467,0,1269,30,10,257,108,7
49,0,185,6,5,62,31,7
39,0,95,4,1,64,32,0
19,0,1157,18,12,362,205,7
114,0,1133,1,2,302,214,0
81,0,986,1,0,199,125,7
65,0,201,1,0,62,35,7
47,0,1193,2,0,405,219,0
37,0,901,25,20,261,141,0
109,0,136,1,0,62,31,0
28,0,1374,62,52,304,166,7
4,0,1232,4,1,235,148,7
17,0,932,3,2,145,97,0
93,0,914,17,12,141,91,0
139,0,775,17,10,214,114,0
32,0,547,26,21,117,60,7
163,0,731,16,16,120,69,7
19,0,868,41,0,195,77,7
8,0,222,81,36,194,88,0
23,0,193,28,14,70,20,7
19,0,1245,2,0,343,193,7
100,0,208,4,4,125,61,0
56,0,609,10,3,239,127,7
136,0,192,6,5,60,27,7
33,0,711,21,7,291,122,0
20,0,1040,12,4,322,190,0
104,0,624,30,21,117,62,7
141,0,180,1,0,138,68,7
42,0,568,3,0,130,64,7
37,0,669,23,18,258,131,7
108,0,334,2,0,106,59,0
70,0,226,1,0,346,130,7
13,0,779,1,0,285,163,7
3,0,1136,14,2,209,89,7
48,0,590,23,20,259,134,0
243,0,504,7,4,112,57,7
19,0,1095,10,7,305,185,7
68,0,317,9,9,209,91,7
148,0,620,2,0,246,127,7
13,0,873,12,1,167,82,7
131,0,889,1,0,155,79,0
58,0,1110,7,4,327,222,7
59,0,1162,36,19,279,159,7
24,0,1193,3,0,272,150,0
93,0,1357,14,4,375,238,7
132,0,1123,5,4,319,188,7
48,0,1250,6,2,334,185,0
33,0,342,2,1,112,22,7
37,0,1432,3,1,391,251,7
21,0,725,5,4,121,77,7
22,0,1238,1,0,326,180,0
27,0,397,2,0,87,38,7
41,0,617,3,2,242,127,0
11,0,1252,4,0,292,174,7
47,0,1512,34,26,394,264,0
25,0,178,57,20,168,64,0
26,0,201,109,39,305,102,0
19,0,1027,1,0,255,179,0
95,0,0,3,2,29,10,0
27,0,201,1,0,147,51,7
