@relation docs
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,14}

@data
0,0,5,7,2,30,243,0
1,0,5,8,2,30,325,14
0,0,0,9,3,42,239,14
0,0,1,10,3,42,0,0
0,0,0,15,4,50,358,0
2,1,7,16,5,61,98,0
6,0,40,17,6,63,0,0
7,0,40,18,6,63,0,14
12,1,40,23,7,63,0,14
0,0,0,21,7,75,483,0
13,1,54,22,8,78,3057,14
14,2,56,23,9,82,0,0
3,0,0,3,0,0,100,0
10,0,40,21,6,63,712,0
5,0,29,13,4,47,938,14
0,0,0,23,12,89,151,0
15,4,63,24,13,90,401,14
0,0,2,4,2,2,111,14
0,0,1,25,11,100,192,14
1,0,0,27,11,105,0,0
9,0,40,20,6,63,168,0
1,0,1,28,13,132,225,0
17,5,105,29,14,133,404,0
18,6,107,30,15,135,158,14
0,0,0,32,15,163,615,14
1,1,0,33,15,179,175,0
2,1,0,34,15,179,306,0
2,1,2,35,17,179,295,0
20,6,145,36,17,179,189,0
2,0,2,6,2,2,0,14
3,3,1,37,18,181,313,0
3,2,4,38,19,187,68,0
4,4,1,39,19,189,205,14
19,6,151,38,19,189,0,0
20,6,153,39,21,191,27,14
21,9,167,40,24,207,31,14
5,4,1,42,24,216,398,0
23,9,185,43,24,227,66,14
0,0,0,44,25,228,134,0
19,6,130,31,15,158,268,14
25,12,192,46,28,234,744,14
27,12,197,48,28,239,0,0
5,5,1,42,29,220,284,0
25,14,196,42,30,225,25,0
0,0,0,43,30,223,844,0
26,12,195,47,28,237,50,14
26,16,194,44,31,223,225,14
4,4,11,44,31,229,77,0
0,0,0,42,31,236,299,0
20,15,226,39,31,257,84,14
0,0,0,40,31,258,381,14
21,15,231,41,31,263,89,0
1,0,2,5,2,2,102,14
0,0,0,39,35,285,1,0
1,1,0,40,34,283,0,14
