@relation fuzzy-octo-tribble
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,1}

@data
0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0
2,0,0,2,0,0,0,0
3,0,0,3,0,0,0,0
4,0,0,4,0,0,79,0
5,0,0,5,0,0,0,0
6,0,0,6,0,0,0,0
7,0,0,7,0,0,0,0
8,0,0,8,0,0,0,0
9,0,0,9,0,0,0,0
10,0,0,10,0,0,0,0
11,0,0,11,0,0,0,0
12,0,0,12,0,0,0,0
13,0,0,13,0,0,0,0
16,7,7,16,7,7,98,1
18,11,11,18,11,11,0,0
19,11,11,19,11,11,65,0
20,11,11,20,11,11,0,0
21,11,11,21,11,11,0,0
22,11,11,22,11,11,0,0
23,11,11,23,11,11,0,0
24,11,11,24,11,11,0,0
25,11,11,25,11,11,0,0
26,11,11,26,11,11,0,0
27,11,11,27,11,11,54,0
28,15,16,28,15,16,0,0
29,15,16,29,15,16,0,1
30,16,17,30,16,17,0,0
31,16,17,31,16,17,0,0
32,16,17,32,16,17,37,1
33,16,17,33,16,17,0,0
34,16,17,34,16,17,24,0
35,16,17,35,16,17,0,0
36,16,17,36,16,17,0,0
37,16,17,37,16,17,0,1
38,16,17,38,16,17,0,1
39,16,17,39,16,17,0,1
41,16,17,41,16,17,0,1
42,16,17,42,16,17,0,1
44,16,17,44,16,17,0,1
45,16,17,45,16,17,0,1
46,16,17,46,16,17,0,1
47,16,17,47,16,17,0,1
48,16,17,48,16,17,0,1
49,19,17,49,19,17,77,1
50,19,17,50,19,17,0,0
51,22,20,51,22,20,0,1
52,27,25,52,27,25,0,0
53,29,26,53,29,26,0,1
55,30,28,55,30,28,0,0
57,34,32,57,34,32,0,0
58,34,32,58,34,32,0,0
59,34,32,59,34,32,0,0
60,34,32,60,34,32,0,0
61,34,32,61,34,32,0,0
62,34,32,62,34,32,0,0
63,34,32,63,34,32,0,0
64,34,32,64,34,32,38,0
65,34,32,65,34,32,0,0
66,34,32,66,34,32,0,0
67,39,36,67,39,36,0,0
68,39,36,68,39,36,110,0
69,43,40,69,43,40,0,0
70,43,40,70,43,40,0,0
71,43,40,71,43,40,0,0
72,43,40,72,43,40,0,0
73,43,40,73,43,40,0,0
74,43,40,74,43,40,0,0
75,43,40,75,43,40,0,1
76,43,40,76,43,40,0,0
77,49,45,77,49,45,0,0
78,56,48,78,56,48,109,0
79,56,48,79,56,48,0,0
80,57,49,80,57,49,0,0
81,57,49,81,57,49,0,0
83,62,52,83,62,52,0,0
84,62,52,84,62,52,0,1
86,62,52,86,62,52,0,1
87,62,52,87,62,52,0,1
88,62,52,88,62,52,0,1
89,62,52,89,62,52,0,1
90,62,52,90,62,52,0,1
91,63,53,91,63,53,110,1
92,64,55,92,64,55,0,1
93,64,55,93,64,55,0,0
94,65,56,94,65,56,0,0
95,67,58,95,67,58,0,0
96,67,58,96,67,58,0,0
97,68,59,97,68,59,70,1
99,71,61,99,71,61,126,0
100,71,61,100,71,61,0,0
101,71,61,101,71,61,0,0
102,71,61,102,71,61,0,0
104,71,61,104,71,61,0,0
103,71,61,103,71,61,0,0
106,71,61,106,71,61,0,0
107,71,61,107,71,61,0,0
108,71,61,108,71,61,0,0
114,79,63,114,79,63,0,0
113,79,63,113,79,63,0,0
115,79,63,115,79,63,0,0
116,80,63,116,80,63,0,0
