@relation pythondotorg
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,1}

@data
0,0,1,6,0,2,259,0
0,0,0,0,0,0,59,0
0,0,0,10,1,10,152,0
1,0,0,11,1,10,0,1
2,0,0,12,1,10,257,0
0,0,0,13,1,10,326,1
0,0,0,14,1,10,14,0
0,0,0,16,1,10,220,0
0,0,0,17,1,10,72,1
1,0,0,18,1,10,69,0
0,0,0,20,1,10,111,1
1,0,0,21,1,10,172,1
0,0,0,38,1,15,218,0
0,0,0,24,1,11,294,1
3,0,0,27,1,12,137,0
6,0,0,30,1,13,373,0
8,0,0,32,1,13,218,0
9,0,0,33,1,13,542,1
0,0,0,34,1,13,74,0
0,0,0,35,1,13,227,0
1,0,0,36,1,13,412,1
0,0,0,37,1,13,123,1
0,0,0,40,1,16,1,1
0,0,0,43,1,16,82,0
5,0,0,46,1,16,182,1
8,0,0,50,1,16,136,0
9,0,0,51,1,16,16,1
10,0,0,52,1,16,20,0
0,0,0,53,1,17,63,0
0,0,0,54,1,17,73,0
2,0,0,56,3,18,283,1
3,0,0,57,6,21,663,1
4,0,0,58,7,23,262,0
0,0,0,60,9,23,96,0
1,0,0,61,9,23,0,0
10,3,0,62,12,26,613,1
0,0,0,63,12,26,1090,1
0,0,0,64,12,26,158,0
1,0,0,65,12,26,124,0
2,0,0,66,12,26,67,0
3,0,0,67,12,26,136,1
0,0,0,68,13,28,84,0
4,0,0,72,14,28,165,1
0,0,0,73,15,32,247,1
5,2,0,74,17,34,321,0
5,1,0,75,17,34,458,1
0,0,0,76,19,34,401,0
0,0,0,77,20,47,201,0
0,0,0,4,0,0,117,0
0,0,0,1,0,0,189,1
0,0,0,2,0,0,116,1
0,0,0,79,23,58,103,1
2,1,0,80,25,61,159,0
0,0,0,81,25,61,119,1
0,0,0,82,25,61,157,1
0,0,0,83,29,68,122,1
0,0,0,84,29,68,240,1
11,3,0,85,29,68,322,1
13,3,0,87,29,69,480,0
0,0,23,89,30,72,63,0
0,0,0,91,31,72,161,0
1,0,0,92,31,72,239,1
2,0,0,93,31,72,230,1
0,0,0,96,32,72,745,1
2,0,0,98,32,72,606,1
4,0,0,99,32,72,241,1
0,0,0,101,32,72,194,1
1,0,0,103,32,72,183,1
2,0,0,105,32,72,217,1
6,0,0,106,32,72,278,0
7,0,0,107,32,72,116,0
20,4,0,111,32,72,121,0
2,2,0,112,33,72,101,0
0,0,0,5,0,0,356,1
8,1,4,113,36,77,127,0
23,6,0,116,42,81,361,0
9,4,5,117,42,81,240,1
10,4,6,118,43,82,35,1
0,0,0,120,47,86,19,1
0,0,0,121,47,86,227,0
25,7,0,122,49,87,87,0
26,8,0,123,50,87,152,0
27,9,0,124,51,87,125,0
28,9,0,126,52,91,202,1
29,9,0,127,52,91,251,0
0,0,0,130,54,94,384,1
0,0,0,131,54,95,138,1
0,0,0,132,57,100,323,1
31,12,0,134,60,115,254,0
0,0,0,135,60,117,757,0
32,12,0,136,61,118,172,0
11,7,8,138,62,118,304,1
34,13,0,140,62,118,131,1
35,13,0,141,62,118,474,1
0,0,1,142,62,118,216,0
1,1,0,143,64,118,876,0
0,0,0,146,65,118,186,1
1,0,0,147,65,118,456,1
36,14,0,149,66,119,259,0
0,0,0,150,67,119,286,0
0,0,0,152,67,119,184,0
2,0,0,153,68,119,80,1
3,0,0,154,68,119,156,1
7,0,0,158,68,119,191,0
1,1,1,162,70,122,644,0
0,0,0,163,71,123,369,1
6,4,0,165,71,123,116,1
37,15,0,167,71,123,275,0
11,1,0,168,71,123,310,0
0,0,0,169,73,127,86,1
1,0,0,170,73,127,163,1
0,0,0,173,74,130,439,0
1,1,0,174,75,130,370,1
1,1,0,176,75,130,548,0
0,0,0,177,75,130,213,0
0,0,0,178,78,130,255,0
12,8,8,180,79,134,174,0
1,1,1,183,81,136,81,0
38,16,0,184,82,136,244,1
3,0,0,185,82,136,437,0
0,0,0,186,82,136,489,0
39,16,0,187,84,136,389,0
40,16,0,188,84,136,253,0
41,18,0,191,87,143,463,1
