@relation rbb
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,7}

@data
61,53,189,61,53,189,107,7
59,47,173,59,47,173,0,7
3,4,193,3,4,193,282,7
88,67,171,88,67,171,93,0
85,67,171,85,67,171,75,0
84,67,171,84,67,171,0,0
83,65,171,83,65,171,0,0
82,65,171,82,65,171,0,0
81,65,171,81,65,171,0,0
80,65,171,80,65,171,0,0
75,62,171,75,62,171,0,0
73,61,171,73,61,171,0,0
72,58,172,72,58,172,3191,0
71,58,172,71,58,172,164,0
70,58,172,70,58,172,0,0
69,58,172,69,58,172,0,0
68,58,172,68,58,172,0,0
67,53,172,67,53,172,0,0
66,53,172,66,53,172,0,0
65,53,172,65,53,172,0,0
64,52,173,64,52,173,0,0
67,56,175,67,56,175,0,0
65,56,178,65,56,178,0,0
64,54,189,64,54,189,0,0
63,54,189,63,54,189,0,0
62,54,189,62,54,189,0,0
60,53,189,60,53,189,0,0
58,47,173,58,47,173,0,0
31,19,159,31,19,159,0,0
30,19,159,30,19,159,0,0
27,15,159,27,15,159,0,7
25,15,159,25,15,159,0,0
23,12,159,23,12,159,37,0
22,12,162,22,12,162,0,0
20,11,162,20,11,162,0,0
19,9,162,19,9,162,46,0
17,6,199,17,6,199,0,7
15,6,285,15,6,285,0,7
12,6,267,12,6,267,0,7
10,5,243,10,5,243,0,7
7,4,228,7,4,228,0,7
6,4,204,6,4,204,0,0
4,4,196,4,4,196,0,7
4,4,193,4,4,193,0,7
12,4,0,12,4,0,0,7
11,4,0,11,4,0,0,7
10,3,0,10,3,0,0,7
9,3,0,9,3,0,78,7
7,2,0,7,2,0,0,7
6,0,0,6,0,0,57,7
5,0,0,5,0,0,33,0
4,0,0,4,0,0,95,7
3,0,0,3,0,0,33,7
2,0,0,2,0,0,105,7
1,0,0,1,0,0,84,0
0,0,0,0,0,0,37,0
83,72,91,84,72,91,175,7
85,72,91,86,72,91,36,0
86,72,91,87,72,91,0,7
85,72,85,86,72,85,777,0
87,74,78,88,74,78,0,0
89,75,78,90,75,78,84,0
91,75,78,92,75,78,126,7
93,75,78,94,75,78,0,7
94,75,78,95,75,78,0,7
95,75,78,96,75,78,0,0
96,75,78,97,75,78,0,0
100,75,77,101,75,77,0,7
101,75,77,102,75,77,0,0
110,79,68,111,79,68,0,0
111,85,68,112,85,68,0,0
109,79,68,110,79,68,0,0
103,75,72,104,75,72,0,7
107,79,72,108,79,72,0,0
112,89,68,113,89,68,0,7
128,90,71,131,90,71,0,0
130,89,99,133,89,99,0,0
131,89,99,134,89,99,0,0
132,89,99,135,89,99,0,0
133,89,99,136,89,99,0,0
78,36,102,81,36,102,1164,0
79,36,102,82,36,102,0,0
80,36,102,83,36,102,0,0
82,36,102,85,36,102,0,0
66,28,110,69,28,110,0,0
67,28,110,70,28,110,0,0
68,29,112,71,29,112,0,7
69,29,112,72,29,112,0,0
1,0,0,117,89,68,233,7
68,30,179,71,31,179,1537,0
63,29,182,65,30,182,0,7
64,29,182,66,30,182,0,7
41,22,182,43,23,182,0,7
102,75,72,103,75,72,153,7
0,0,0,127,89,65,131,7
1,3,138,2,4,138,0,7
2,3,138,3,4,138,0,7
3,3,139,4,4,139,0,0
4,3,140,5,4,140,0,7
5,3,140,6,4,140,0,7
6,3,140,7,4,140,0,7
40,24,182,42,25,182,0,7
7,5,179,8,6,179,0,0
8,5,179,9,6,179,0,0
10,10,204,11,11,204,0,0
11,11,202,12,12,202,0,0
12,12,202,13,13,202,63,7
13,13,210,14,14,210,0,7
9,8,196,10,9,196,0,7
14,14,211,15,15,211,30,0
15,14,211,16,15,211,0,0
16,14,211,17,15,211,0,7
18,16,225,19,17,225,0,0
20,18,234,21,19,234,0,0
21,18,232,22,19,232,2980,0
22,18,232,23,19,232,0,0
19,18,234,20,19,234,0,7
23,22,237,24,23,237,0,0
24,24,237,25,25,237,0,0
25,24,237,26,25,237,0,0
26,27,251,27,28,251,0,0
27,28,251,28,29,251,0,7
29,28,251,30,29,251,0,0
30,28,251,31,29,251,0,0
31,28,251,32,29,251,0,0
32,28,251,33,29,251,0,0
33,28,251,34,29,251,0,0
34,28,251,35,29,251,0,0
35,28,251,36,29,251,0,7
36,28,251,37,29,251,0,0
37,35,265,38,36,265,0,0
38,38,273,39,39,273,0,0
39,38,273,40,39,273,0,0
40,39,275,41,40,275,0,0
41,40,276,42,41,276,0,0
42,40,276,43,41,276,0,0
43,40,276,44,41,276,0,0
44,40,275,45,41,275,0,0
46,40,275,47,41,275,0,0
47,47,277,48,48,277,0,0
48,47,277,49,48,277,0,0
50,50,299,51,51,299,0,0
51,50,299,52,51,299,107,0
52,50,299,53,51,299,0,0
53,50,299,54,51,299,0,0
54,50,299,55,51,299,0,0
55,50,299,56,51,299,0,0
56,53,312,57,54,312,0,0
57,53,312,58,54,312,0,0
58,53,312,59,54,312,0,0
49,50,299,50,51,299,0,0
60,58,323,61,59,323,0,0
59,58,323,60,59,323,0,0
61,62,330,62,63,330,0,0
63,62,329,64,63,329,0,0
64,62,329,65,63,329,0,0
65,62,329,66,63,329,0,0
68,63,323,68,64,323,0,0
71,67,311,71,68,311,0,0
69,67,311,69,68,311,0,0
70,67,311,70,68,311,0,0
72,70,339,72,71,339,0,0
105,77,72,106,77,72,0,7
66,69,260,66,69,260,0,7
67,69,260,67,69,260,0,7
68,69,256,68,69,256,0,7
0,0,0,66,64,203,627,7
0,0,0,29,31,155,1789,0
