@relation slycat
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,1}

@data
0,0,0,0,0,1,0,1
1,0,0,1,0,1,282,1
2,0,0,2,0,1,0,1
5,0,0,5,0,1,0,1
7,0,0,7,0,1,0,1
8,0,0,8,0,1,131,1
9,0,0,9,0,1,117,1
10,0,0,10,0,1,403,1
11,0,0,11,0,1,230,0
12,0,0,12,0,1,0,1
13,1,1,13,1,2,0,0
14,2,2,14,2,3,0,1
0,0,0,15,2,7,274,0
1,1,2,16,3,10,854,1
2,1,2,17,3,10,223,1
3,1,2,18,3,10,68,1
15,2,17,19,3,20,161,0
16,3,17,20,4,20,145,1
4,3,6,22,8,51,90,1
5,3,6,23,8,51,64,1
18,6,61,24,10,71,135,0
19,8,70,25,12,80,12,1
20,8,74,26,12,84,0,0
21,9,79,27,13,89,0,0
22,9,79,28,13,89,442,1
23,9,79,29,13,89,66,0
24,11,82,30,15,92,0,0
25,11,83,31,15,93,0,0
26,11,83,32,15,93,0,1
27,11,83,33,15,93,291,1
28,12,84,34,16,94,0,0
29,12,84,35,16,94,210,0
30,13,98,36,17,108,505,0
31,16,103,37,20,113,279,1
32,16,103,38,20,113,530,0
6,4,9,39,20,125,62,0
7,5,12,40,22,128,70,0
8,5,12,41,22,128,62,1
33,18,138,42,24,152,0,0
34,18,138,43,24,152,0,0
35,18,138,44,24,152,138,0
39,22,152,49,28,168,492,0
40,23,166,50,29,182,0,0
38,22,152,48,28,168,0,0
41,25,168,51,31,184,166,0
44,27,172,54,33,188,0,1
45,29,196,56,35,214,0,0
46,30,197,57,36,215,0,0
47,31,200,58,37,218,0,0
48,32,202,59,38,220,160,1
10,6,15,55,33,200,231,1
11,7,20,60,39,227,0,0
12,8,21,61,40,234,0,0
13,11,23,62,44,236,149,0
14,11,23,63,44,236,586,0
15,13,25,64,46,239,147,0
49,33,218,65,47,246,126,1
51,33,218,67,47,246,558,1
52,33,230,68,47,258,257,1
53,33,232,69,47,260,325,0
54,35,242,70,49,270,213,0
55,36,258,71,50,286,0,1
57,36,259,73,50,287,222,0
58,37,263,74,51,291,227,0
59,38,271,75,52,299,149,1
60,38,283,77,52,311,0,0
64,40,285,81,54,313,0,1
65,40,285,82,54,313,0,1
66,41,285,83,55,313,0,0
67,41,285,84,55,313,0,0
68,41,285,85,55,313,220,1
69,41,285,86,55,313,95,1
70,41,285,87,55,313,0,0
61,40,285,78,54,313,126,0
71,45,293,88,59,321,306,1
72,49,316,89,63,344,0,1
73,50,325,90,64,353,246,0
74,50,326,91,64,354,540,0
1,0,0,92,67,355,147,1
75,53,328,93,67,356,60,0
76,54,329,94,68,357,266,0
77,54,329,95,68,357,135,0
78,56,336,96,71,364,0,0
79,56,336,97,71,364,0,0
80,56,336,98,71,364,103,1
66,57,346,80,71,371,1678,1
64,57,347,78,71,372,9,0
65,57,347,79,71,372,9,1
66,56,341,78,68,363,0,1
67,58,360,79,70,382,83,1
37,32,300,44,41,311,488,1
38,32,304,45,41,315,9,1
0,0,0,76,52,311,458,1
39,34,342,45,42,349,68,1
40,34,342,46,42,349,270,1
0,0,0,43,37,353,155,0
31,34,327,34,37,328,114,0
31,35,329,34,38,330,58,0
32,36,333,35,39,334,0,0
22,33,339,24,36,342,0,1
23,33,339,25,36,342,0,1
24,33,339,26,36,342,0,1
25,33,339,27,36,342,0,1
22,25,317,23,28,325,233,0
12,20,266,13,22,305,77,0
13,22,268,14,24,307,168,1
14,22,268,15,24,307,156,1
15,21,197,16,23,239,124,1
16,21,197,17,23,239,109,0
13,18,110,13,18,160,125,0
0,0,0,14,19,168,111,0
0,0,0,2,9,113,300,0
0,0,84,1,2,215,0,1
1,0,84,2,2,215,170,1
2,1,84,3,3,215,0,1
3,1,84,4,3,215,0,1
4,1,84,5,3,215,0,1
5,1,84,6,3,215,0,1
6,2,84,7,3,210,0,0
7,3,114,8,4,239,0,1
8,4,142,9,5,271,0,1
9,4,142,10,5,271,87,1
10,4,142,11,5,271,0,1
11,4,142,12,5,269,260,1
12,5,156,13,6,286,186,1
13,6,156,14,7,289,130,1
14,6,156,15,7,289,83,0
15,6,156,16,7,289,0,1
9,0,0,25,7,291,266,0
10,1,0,26,11,308,486,0
11,1,0,27,11,308,0,1
4,0,0,20,7,287,130,1
14,2,0,30,12,310,493,0
2,0,0,18,7,287,339,1
16,11,159,31,14,320,0,1
5,0,0,21,7,287,111,1
0,0,132,32,17,326,641,0
0,0,0,16,7,286,923,1
3,0,0,19,7,287,134,1
0,0,27,33,23,335,420,1
1,0,27,34,23,335,338,1
3,0,27,36,23,335,301,1
5,0,27,38,23,335,247,1
7,0,27,40,23,335,343,1
9,0,27,42,23,335,215,1
8,0,27,41,23,335,251,1
11,0,32,44,23,342,107,1
2,1,128,47,23,349,0,1
1,1,128,46,23,349,0,1
15,8,0,48,23,357,392,1
16,8,0,52,23,367,130,1
17,8,0,53,23,367,109,0
13,0,36,54,24,373,79,0
14,0,36,55,24,375,169,0
15,0,36,56,24,375,130,0
0,0,6,58,25,373,223,0
1,0,6,59,25,373,173,1
17,2,36,60,27,371,87,0
2,1,6,61,31,372,219,0
3,2,6,62,33,363,302,1
18,9,0,63,35,359,21,1
18,8,36,64,35,359,378,0
19,8,36,65,35,359,50,0
20,8,36,66,35,359,127,0
4,3,6,67,35,359,394,1
21,13,40,68,40,371,89,0
22,13,40,69,40,371,83,1
24,13,40,71,40,374,23,1
25,13,40,72,40,374,23,1
27,13,40,74,40,374,131,0
28,13,40,75,40,374,24,0
29,13,40,76,40,374,23,0
30,13,40,77,40,374,24,0
32,16,40,79,43,396,70,1
34,16,40,81,43,396,150,1
35,16,40,82,43,396,90,1
5,3,17,83,44,400,0,0
0,0,18,84,47,408,94,0
1,1,20,85,51,418,228,1
5,2,121,88,52,426,81,1
2,1,22,89,52,426,157,1
3,1,23,90,54,427,0,0
4,2,23,91,55,427,0,0
6,3,23,93,56,426,136,1
7,3,23,94,56,426,191,1
20,17,176,96,60,432,78,0
22,17,176,98,60,432,107,0
6,6,23,99,61,433,212,1
23,19,179,101,62,438,484,0
20,10,0,109,65,477,396,0
21,11,0,110,66,477,250,1
7,7,30,107,65,462,380,1
9,8,36,111,67,487,37,0
10,8,36,112,67,487,119,1
11,9,46,113,69,503,151,1
12,9,46,114,69,503,102,1
8,7,31,108,65,463,103,1
13,9,46,115,69,507,161,0
14,10,49,116,70,510,121,0
23,13,0,119,74,522,66,1
16,12,54,121,74,523,207,0
6,2,91,122,76,565,333,1
9,6,29,117,81,606,35,0
24,13,0,120,74,523,78,1
7,4,90,119,83,601,90,1
12,7,36,121,82,589,63,0
25,15,0,122,83,591,689,1
26,15,0,124,84,600,501,0
9,4,90,120,83,598,151,1
14,9,42,127,87,645,0,0
16,11,42,129,89,645,92,1
21,17,284,126,87,618,146,1
18,18,341,127,94,697,0,1
20,18,341,129,95,697,127,1
21,18,341,130,95,697,123,1
19,18,341,128,94,697,0,1
22,18,341,131,95,697,0,1
23,18,341,132,95,697,99,1
24,18,341,133,95,697,379,1
25,18,345,134,96,701,0,0
26,19,346,135,97,703,54,0
27,19,346,136,97,704,94,0
18,12,50,137,100,715,0,1
20,12,54,121,87,700,73,1
26,14,412,96,77,723,0,1
25,14,412,95,77,723,0,1
29,18,420,80,69,710,0,0
24,16,418,60,55,684,0,0
