@relation rbb
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen integer
@data
61,53,189,61,53,189,107,365
59,47,173,59,47,173,0,365
3,4,193,3,4,193,282,1000
88,67,171,88,67,171,93,1
85,67,171,85,67,171,75,1
84,67,171,84,67,171,0,1
83,65,171,83,65,171,0,1
82,65,171,82,65,171,0,1
81,65,171,81,65,171,0,1
80,65,171,80,65,171,0,1
75,62,171,75,62,171,0,1
73,61,171,73,61,171,0,1
72,58,172,72,58,172,3191,7
71,58,172,71,58,172,164,7
70,58,172,70,58,172,0,1
69,58,172,69,58,172,0,1
68,58,172,68,58,172,0,7
67,53,172,67,53,172,0,1
66,53,172,66,53,172,0,1
65,53,172,65,53,172,0,1
64,52,173,64,52,173,0,1
67,56,175,67,56,175,0,1
65,56,178,65,56,178,0,1
64,54,189,64,54,189,0,1
63,54,189,63,54,189,0,1
62,54,189,62,54,189,0,1
60,53,189,60,53,189,0,1
58,47,173,58,47,173,0,1
31,19,159,31,19,159,0,1
30,19,159,30,19,159,0,1
27,15,159,27,15,159,0,14
25,15,159,25,15,159,0,1
23,12,159,23,12,159,37,7
22,12,162,22,12,162,0,7
20,11,162,20,11,162,0,7
19,9,162,19,9,162,46,1
17,6,199,17,6,199,0,90
15,6,285,15,6,285,0,90
12,6,267,12,6,267,0,90
10,5,243,10,5,243,0,90
7,4,228,7,4,228,0,90
6,4,204,6,4,204,0,7
4,4,196,4,4,196,0,14
4,4,193,4,4,193,0,90
12,4,0,12,4,0,0,90
11,4,0,11,4,0,0,180
10,3,0,10,3,0,0,180
9,3,0,9,3,0,78,180
7,2,0,7,2,0,0,14
6,0,0,6,0,0,57,180
5,0,0,5,0,0,33,7
4,0,0,4,0,0,95,365
3,0,0,3,0,0,33,180
2,0,0,2,0,0,105,180
1,0,0,1,0,0,84,7
0,0,0,0,0,0,37,7
83,72,91,84,72,91,175,365
85,72,91,86,72,91,36,7
86,72,91,87,72,91,0,30
85,72,85,86,72,85,777,1
87,74,78,88,74,78,0,1
89,75,78,90,75,78,84,7
91,75,78,92,75,78,126,14
93,75,78,94,75,78,0,14
94,75,78,95,75,78,0,14
95,75,78,96,75,78,0,7
96,75,78,97,75,78,0,7
100,75,77,101,75,77,0,14
101,75,77,102,75,77,0,7
110,79,68,111,79,68,0,7
111,85,68,112,85,68,0,1
109,79,68,110,79,68,0,7
103,75,72,104,75,72,0,14
107,79,72,108,79,72,0,7
112,89,68,113,89,68,0,30
128,90,71,131,90,71,0,1
130,89,99,133,89,99,0,1
131,89,99,134,89,99,0,1
132,89,99,135,89,99,0,1
133,89,99,136,89,99,0,1
78,36,102,81,36,102,1164,1
79,36,102,82,36,102,0,1
80,36,102,83,36,102,0,1
82,36,102,85,36,102,0,1
66,28,110,69,28,110,0,1
67,28,110,70,28,110,0,1
68,29,112,71,29,112,0,30
69,29,112,72,29,112,0,1
1,0,0,117,89,68,233,90
68,30,179,71,31,179,1537,1
63,29,182,65,30,182,0,365
64,29,182,66,30,182,0,90
41,22,182,43,23,182,0,180
102,75,72,103,75,72,153,365
0,0,0,127,89,65,131,180
1,3,138,2,4,138,0,90
2,3,138,3,4,138,0,90
3,3,139,4,4,139,0,1
4,3,140,5,4,140,0,14
5,3,140,6,4,140,0,14
6,3,140,7,4,140,0,14
40,24,182,42,25,182,0,180
7,5,179,8,6,179,0,1
8,5,179,9,6,179,0,1
10,10,204,11,11,204,0,7
11,11,202,12,12,202,0,7
12,12,202,13,13,202,63,180
13,13,210,14,14,210,0,30
9,8,196,10,9,196,0,14
14,14,211,15,15,211,30,1
15,14,211,16,15,211,0,7
16,14,211,17,15,211,0,30
18,16,225,19,17,225,0,1
20,18,234,21,19,234,0,7
21,18,232,22,19,232,2980,7
22,18,232,23,19,232,0,7
19,18,234,20,19,234,0,14
23,22,237,24,23,237,0,1
24,24,237,25,25,237,0,1
25,24,237,26,25,237,0,1
26,27,251,27,28,251,0,7
27,28,251,28,29,251,0,180
29,28,251,30,29,251,0,7
30,28,251,31,29,251,0,1
31,28,251,32,29,251,0,1
32,28,251,33,29,251,0,1
33,28,251,34,29,251,0,1
34,28,251,35,29,251,0,1
35,28,251,36,29,251,0,14
36,28,251,37,29,251,0,1
37,35,265,38,36,265,0,1
38,38,273,39,39,273,0,7
39,38,273,40,39,273,0,1
40,39,275,41,40,275,0,1
41,40,276,42,41,276,0,7
42,40,276,43,41,276,0,7
43,40,276,44,41,276,0,7
44,40,275,45,41,275,0,7
46,40,275,47,41,275,0,1
47,47,277,48,48,277,0,1
48,47,277,49,48,277,0,1
50,50,299,51,51,299,0,7
51,50,299,52,51,299,107,7
52,50,299,53,51,299,0,7
53,50,299,54,51,299,0,7
54,50,299,55,51,299,0,7
55,50,299,56,51,299,0,1
56,53,312,57,54,312,0,1
57,53,312,58,54,312,0,1
58,53,312,59,54,312,0,1
49,50,299,50,51,299,0,7
60,58,323,61,59,323,0,1
59,58,323,60,59,323,0,1
61,62,330,62,63,330,0,7
63,62,329,64,63,329,0,7
64,62,329,65,63,329,0,1
65,62,329,66,63,329,0,7
68,63,323,68,64,323,0,1
71,67,311,71,68,311,0,7
69,67,311,69,68,311,0,7
70,67,311,70,68,311,0,7
72,70,339,72,71,339,0,1
105,77,72,106,77,72,0,365
66,69,260,66,69,260,0,30
67,69,260,67,69,260,0,90
68,69,256,68,69,256,0,90
0,0,0,66,64,203,627,14
0,0,0,29,31,155,1789,1
