@relation framework
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,14}

@data
0,0,0,2,0,3,296,0
0,0,0,3,0,3,475,0
1,0,0,45,2,16,246,14
0,0,0,47,2,18,1282,0
0,0,0,40,2,16,214,14
2,0,0,49,2,19,70,0
1,0,0,53,3,19,241,0
0,0,0,10,1,12,567,0
0,0,0,17,2,12,554,0
0,0,0,7,1,8,704,0
2,0,0,57,6,19,141,0
0,0,0,6,1,4,435,0
0,0,0,32,2,13,181,14
0,0,0,64,9,21,287,0
0,0,0,70,11,22,974,0
0,0,0,73,11,22,403,0
0,0,0,76,12,24,229,0
0,0,0,77,13,24,498,0
0,0,0,78,13,24,341,14
0,0,0,5,1,4,537,14
0,0,0,11,1,12,1168,0
0,0,0,79,13,26,663,0
0,0,0,23,2,12,459,0
4,0,0,82,16,27,218,0
1,0,0,67,10,21,295,0
2,0,0,39,2,16,271,0
0,0,0,27,2,13,489,0
0,0,0,30,2,13,239,0
0,0,1,15,2,12,260,14
0,0,0,94,27,28,374,14
2,0,0,34,2,13,271,14
0,0,0,100,28,36,361,14
2,0,0,103,28,38,645,0
0,0,0,46,2,18,603,14
0,0,0,105,29,39,289,0
0,0,0,108,29,39,908,0
1,0,0,109,29,39,734,0
0,0,0,110,29,39,562,0
3,1,0,111,30,39,288,0
2,0,0,113,30,39,478,0
3,0,0,114,30,39,434,0
0,0,0,115,33,40,214,0
4,0,0,118,34,42,393,0
0,0,0,121,34,45,105,0
2,0,0,122,35,45,136,0
0,0,0,123,35,45,612,0
1,0,1,124,35,45,654,0
1,1,0,125,36,45,408,0
0,0,0,120,34,45,315,0
0,0,0,127,37,46,506,0
1,0,0,128,37,46,11,0
0,0,0,129,37,46,682,0
2,1,0,98,28,30,155,0
1,1,0,131,47,48,858,0
0,0,0,132,47,48,122,0
2,1,1,134,47,48,244,0
3,1,1,135,47,48,441,0
0,0,0,138,47,48,109,0
6,1,3,139,47,48,156,0
0,0,0,140,48,48,450,0
1,1,0,141,48,48,350,0
0,0,0,142,48,48,238,0
1,1,0,143,49,48,248,0
1,1,0,146,54,48,612,0
0,0,0,150,58,49,830,0
7,2,3,151,59,49,238,14
0,0,0,152,59,49,193,0
2,0,0,153,60,57,384,0
1,0,0,154,60,57,608,0
1,1,0,155,60,57,453,0
2,1,0,157,62,60,466,0
3,0,0,159,62,60,337,0
1,0,0,160,65,64,111,0
0,0,0,165,66,72,678,0
3,2,0,168,68,73,648,0
0,0,0,170,68,81,343,0
5,1,0,161,66,66,880,0
0,0,0,173,70,95,282,0
4,2,0,176,70,95,629,0
1,0,5,179,70,97,899,0
2,0,0,180,70,97,404,0
1,0,0,28,2,13,404,14
2,2,0,181,70,97,187,0
1,1,0,182,72,99,149,0
4,1,0,183,75,115,493,0
4,1,0,184,83,119,228,0
3,1,1,185,83,124,730,0
0,0,0,186,84,124,383,0
0,0,0,187,86,136,1116,0
0,0,0,188,86,136,440,0
5,3,1,189,87,137,270,0
1,0,0,190,87,137,46,14
0,0,0,191,87,137,486,0
10,3,3,192,88,138,472,0
3,0,0,193,88,138,212,0
6,3,1,194,89,138,204,0
0,0,0,195,89,138,288,0
5,3,0,196,90,141,2025,0
0,0,1,197,90,141,414,0
0,0,0,199,90,141,43,0
1,0,0,200,90,141,506,0
0,0,0,201,91,143,587,0
6,2,0,202,91,143,785,0
0,0,2,203,91,145,690,0
6,3,0,204,91,153,241,0
0,0,0,205,98,166,92,14
0,0,0,206,98,166,154,0
0,0,0,207,98,166,598,0
0,0,0,208,99,166,226,14
0,0,0,209,99,169,256,0
0,0,0,210,100,169,630,0
1,1,0,211,100,174,856,0
0,0,0,212,103,180,456,0
0,0,0,213,103,180,870,0
5,1,0,214,104,181,268,0
0,0,0,215,104,181,793,14
1,1,0,216,104,181,585,0
2,1,0,217,105,181,372,0
0,0,0,218,106,182,1040,0
1,0,2,219,106,188,141,0
0,0,0,220,109,193,269,0
0,0,0,221,109,193,112,0
0,0,0,222,109,193,336,0
0,0,0,223,109,194,104,0
7,5,0,224,109,197,451,0
4,2,1,225,110,198,464,0
0,0,0,226,110,198,151,14
0,0,0,227,110,198,254,14
1,0,2,228,119,205,362,0
0,0,3,229,119,206,491,0
1,0,3,230,120,206,113,0
1,0,0,231,125,209,1660,0
2,2,3,232,125,209,115,0
3,2,3,233,125,209,359,0
1,1,0,234,127,209,791,14
4,4,3,235,127,209,412,0
5,4,3,236,127,209,165,0
8,7,0,237,127,209,300,0
0,0,0,238,130,211,895,14
1,0,0,239,130,211,670,0
0,0,0,240,130,211,726,0
0,0,1,241,130,211,458,0
2,0,0,242,130,211,540,14
3,0,0,243,130,211,324,0
0,0,0,244,130,211,2918,0
6,6,3,245,130,211,341,0
1,1,0,246,130,211,434,14
1,1,0,247,137,215,1090,14
0,0,0,248,137,215,502,14
3,1,0,249,137,215,250,0
4,2,0,250,138,215,574,14
0,0,0,251,138,215,259,0
0,0,0,252,138,215,766,14
1,1,0,253,138,215,654,14
4,1,0,254,138,215,231,0
7,7,3,256,138,215,97,0
12,4,3,258,138,215,166,0
0,0,0,259,138,216,448,14
0,0,0,260,138,216,232,0
0,0,0,261,138,216,455,0
1,0,0,262,139,216,1166,14
1,0,0,263,139,216,183,0
3,1,0,265,139,216,194,0
2,0,0,266,139,216,67,0
0,0,0,267,139,216,523,14
1,0,0,268,142,219,236,0
0,0,0,269,142,223,134,0
1,1,3,270,142,223,682,0
8,7,3,271,142,223,188,0
3,2,0,272,143,223,471,0
3,2,0,273,143,223,60,0
2,0,0,274,143,226,970,0
0,0,0,275,143,227,530,0
4,2,0,276,143,227,403,0
1,0,0,277,143,228,330,0
2,0,0,278,143,228,82,0
3,0,0,279,143,228,173,0
0,0,0,280,143,228,176,0
0,0,0,281,156,236,462,0
4,2,0,282,156,238,250,0
4,3,3,284,156,243,309,0
0,0,0,283,156,242,941,0
1,0,3,285,159,254,437,0
2,1,0,286,159,257,1671,14
2,2,0,287,159,257,307,0
1,0,0,288,159,261,689,0
1,1,0,289,159,262,166,0
7,5,1,290,160,263,201,14
0,0,0,291,162,263,269,0
2,2,0,292,162,263,593,14
3,2,0,293,162,263,534,0
0,0,0,295,164,278,136,0
4,2,0,296,165,278,299,0
8,5,1,297,165,278,251,0
13,5,3,298,166,279,198,0
0,0,0,299,166,279,181,14
9,5,1,300,167,280,251,0
10,5,1,301,170,301,717,0
0,0,0,302,170,301,155,0
2,1,2,303,170,301,142,0
0,0,0,304,170,301,254,0
2,1,0,305,171,301,694,0
0,0,0,306,172,301,327,0
3,2,0,307,172,302,572,0
1,0,2,308,173,302,1561,0
1,0,0,309,174,308,713,0
0,0,0,310,177,309,348,0
0,0,0,311,177,309,103,0
1,0,0,312,177,309,157,0
0,0,0,313,177,309,503,0
0,0,0,314,177,309,137,0
0,0,0,315,177,310,154,0
0,0,0,316,178,310,488,0
5,2,0,317,179,311,267,0
1,1,0,12,1,12,164,14
0,0,0,318,181,312,292,0
0,0,0,319,181,312,82,0
2,0,0,320,181,312,1780,0
6,3,0,321,181,312,246,0
0,0,0,322,181,319,157,0
5,4,3,323,182,319,499,0
6,4,3,324,182,319,702,14
0,0,0,325,182,322,201,0
5,3,0,326,182,322,189,0
3,1,1,327,184,327,1550,0
2,0,1,328,184,327,231,0
0,0,0,329,187,329,492,0
0,0,0,330,187,329,205,0
1,0,0,331,189,329,412,0
0,0,0,332,190,333,200,0
0,0,0,333,190,337,243,0
5,2,0,337,198,376,457,0
0,0,0,336,198,371,1658,14
1,0,0,338,198,376,166,0
1,0,0,339,199,376,314,0
0,0,0,340,200,376,282,0
1,0,0,341,200,376,311,0
2,0,0,342,200,376,135,14
1,0,3,343,200,376,1091,0
0,0,0,344,200,376,234,0
3,0,0,345,201,377,113,0
1,1,0,346,201,377,596,0
3,2,0,335,197,364,361,0
0,0,0,347,211,410,154,0
0,0,0,348,211,415,785,14
0,0,0,349,217,420,545,0
0,0,0,351,221,428,178,0
0,0,0,352,221,429,266,0
7,5,3,353,224,431,591,0
0,0,0,354,224,432,100,14
1,1,0,355,224,432,318,0
4,3,0,356,224,432,369,0
6,4,0,357,224,434,1161,0
0,0,3,358,224,435,243,0
1,1,0,359,229,448,390,0
0,0,0,360,229,448,417,0
1,1,0,361,231,453,258,0
2,2,0,362,233,463,456,0
3,3,0,363,235,465,195,0
0,0,0,364,236,469,770,0
0,0,0,366,237,483,239,0
15,6,4,367,238,484,283,0
0,0,0,368,238,485,563,0
0,0,0,370,239,491,260,0
3,3,1,371,239,492,347,0
0,0,0,372,240,497,196,0
5,4,0,373,240,497,355,0
1,1,0,374,242,499,317,0
0,0,0,377,244,507,93,0
2,2,0,378,245,508,449,0
0,0,0,380,247,510,354,0
0,0,0,381,248,512,198,0
1,1,0,382,249,517,568,0
3,3,0,383,249,518,347,0
0,0,0,384,249,518,253,0
0,0,2,385,251,520,626,0
0,0,0,386,251,520,654,0
1,0,1,387,251,521,552,0
0,0,0,388,252,521,671,0
16,7,7,389,252,521,213,0
0,0,0,390,254,523,612,0
0,0,0,391,254,523,83,0
0,0,0,392,254,523,422,0
0,0,0,394,256,527,109,0
0,0,0,395,256,527,864,0
2,0,0,398,258,527,179,14
3,0,0,399,258,528,299,0
4,1,0,400,259,528,221,0
0,0,0,401,259,529,410,0
0,0,0,403,262,534,330,0
5,2,0,405,263,536,32,0
0,0,0,406,263,536,959,0
0,0,0,407,264,536,314,0
0,0,0,408,264,537,378,0
5,2,0,409,266,544,307,0
6,2,0,411,266,544,309,0
17,7,7,412,266,544,270,0
1,1,0,413,267,544,259,0
0,0,0,26,2,12,327,14
7,2,0,414,273,547,226,0
5,3,1,416,277,551,763,0
1,1,0,417,277,551,648,0
2,1,0,418,277,553,265,0
1,1,0,419,277,553,786,0
3,1,0,420,277,554,188,0
1,0,0,421,278,554,360,0
0,0,0,422,278,554,237,0
4,4,0,423,287,565,874,0
8,3,0,424,287,565,689,0
0,0,0,425,289,565,199,0
0,0,0,426,289,565,326,0
1,1,0,427,289,566,336,0
1,1,0,431,294,568,483,0
0,0,0,436,317,675,526,14
5,2,0,437,317,687,375,14
0,0,0,439,317,690,1670,14
0,0,0,440,317,690,405,14
4,4,2,441,317,690,321,14
6,2,0,442,317,690,1018,14
4,3,4,443,317,697,174,14
0,0,0,444,317,698,318,14
0,0,4,445,317,705,447,14
0,0,0,446,317,706,471,14
1,1,2,447,317,707,837,14
0,0,0,449,317,707,1569,14
2,1,5,450,317,708,831,14
1,0,0,451,317,709,625,14
1,0,0,452,317,709,464,14
1,1,0,453,317,709,370,14
8,2,0,455,317,710,197,14
0,0,0,457,317,715,550,14
1,1,1,458,317,715,336,14
0,0,0,461,317,721,373,14
0,0,1,462,317,721,225,14
2,1,2,448,317,707,84,14
0,0,0,464,317,724,213,14
2,2,0,432,289,765,651,0
0,0,0,433,289,765,1032,0
0,0,0,434,289,764,109,0
0,0,0,433,289,766,196,0
0,0,0,433,289,769,131,0
1,1,0,431,301,771,1078,0
0,0,0,423,284,766,66,0
0,0,0,421,284,765,323,0
3,2,0,422,285,766,228,0
7,5,0,433,289,767,199,0
15,11,13,429,290,771,402,0
0,0,1,431,290,771,233,0
0,0,0,432,301,769,205,0
2,2,0,431,301,769,137,0
0,0,0,430,301,769,142,0
0,0,0,423,299,775,235,0
0,0,0,431,304,769,72,0
0,0,0,430,305,769,257,0
0,0,0,424,303,778,68,0
3,1,1,429,306,769,215,0
0,0,0,426,306,769,668,0
1,0,0,423,306,761,145,0
1,1,0,425,307,781,150,0
2,2,3,420,308,752,194,0
9,8,2,421,308,757,154,0
2,2,0,460,315,729,131,0
5,5,0,429,301,768,57,0
0,0,0,421,313,786,146,0
1,0,0,422,313,786,189,0
2,3,0,423,314,787,2435,0
0,0,0,432,290,772,816,0
0,0,0,424,306,761,183,0
2,1,0,422,326,796,1950,0
0,0,0,467,317,727,287,14
0,0,1,422,327,800,147,0
10,7,0,467,317,725,266,14
0,0,0,423,329,804,773,0
2,2,0,424,329,804,1499,0
14,11,4,424,333,811,524,0
0,0,0,425,340,814,486,0
11,8,0,426,340,814,487,0
0,0,0,424,341,814,134,0
3,3,0,425,343,815,253,0
0,0,0,423,334,816,512,0
1,1,0,426,306,763,551,0
0,0,0,459,317,716,325,14
1,0,0,461,315,730,328,14
4,3,1,423,346,833,269,0
0,0,3,424,346,833,787,0
4,4,0,424,346,833,83,0
0,0,0,424,346,833,267,0
1,1,0,425,347,834,581,0
1,1,0,426,347,834,293,0
