@relation hd
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,14}

@data
61,81,0,345,359,321,312,0
2,1,0,418,410,512,389,0
26,25,383,384,390,399,281,14
20,25,383,378,390,399,513,14
7,6,0,359,333,447,326,14
23,18,0,391,385,399,205,0
22,18,0,390,390,399,412,0
21,18,0,389,390,399,245,0
20,18,0,388,390,399,461,0
19,18,0,387,390,399,180,0
18,18,0,386,390,399,189,0
27,25,383,385,390,399,268,0
25,25,383,383,390,399,390,0
24,25,383,382,390,399,279,0
23,25,383,381,390,399,257,0
22,25,383,380,390,399,213,0
19,25,383,377,390,399,242,0
17,9,0,450,443,509,187,0
16,9,0,451,444,512,207,0
15,9,0,450,444,512,202,0
14,9,0,449,444,512,304,0
13,9,0,448,444,512,202,0
12,9,0,447,444,512,221,0
11,9,0,446,444,512,227,0
10,9,0,445,444,512,387,0
9,9,0,444,444,512,173,0
0,0,0,443,412,512,0,0
8,0,0,442,412,512,197,0
7,0,0,441,412,512,332,0
6,0,0,440,412,512,224,0
5,0,0,439,412,512,334,0
4,0,0,438,412,512,392,0
3,0,0,437,412,512,313,0
2,0,0,436,412,512,295,0
1,0,0,435,412,512,242,0
0,0,0,434,412,512,219,0
21,16,0,433,410,512,257,0
20,16,0,432,410,512,257,0
19,16,0,431,410,512,214,0
18,16,0,430,410,512,259,0
17,16,0,429,410,512,295,0
16,16,0,428,410,512,234,0
1,0,0,427,410,512,245,0
0,0,0,426,410,512,250,0
104,101,0,425,410,512,169,0
7,6,0,424,410,512,213,0
103,101,0,423,410,512,177,0
102,101,0,422,410,512,285,0
101,101,0,421,410,512,148,0
0,0,0,420,410,512,241,14
66,65,0,419,410,512,208,0
6,6,0,417,410,512,241,0
1,1,0,416,410,512,92,0
80,79,495,415,403,512,334,0
79,79,495,414,403,512,261,0
78,79,495,413,403,512,298,0
77,79,495,412,403,512,244,0
76,79,495,411,403,512,314,0
7,6,0,410,388,512,291,0
2,0,0,409,388,512,265,0
1,0,0,408,388,512,235,0
0,0,0,407,388,512,274,0
6,4,0,406,388,512,146,0
0,0,0,405,388,512,495,0
2,1,0,404,388,512,251,0
1,1,0,403,388,512,361,14
5,4,0,402,387,512,283,14
0,0,0,401,387,512,292,0
8,7,0,400,387,512,369,14
7,7,0,399,387,512,153,14
4,4,0,398,387,512,220,14
4,3,0,397,387,512,138,14
3,3,0,396,387,512,236,14
0,0,0,395,387,512,806,14
2,0,0,394,384,512,231,0
1,0,0,393,384,512,204,0
0,0,0,392,384,512,217,0
75,78,492,391,384,509,85,14
100,100,0,390,363,488,146,0
6,4,0,389,362,488,337,0
5,4,0,388,362,488,354,0
4,4,0,387,362,488,313,0
3,1,0,386,361,488,315,0
0,0,0,385,361,488,352,0
5,2,0,384,361,488,162,0
4,2,0,383,361,488,41,0
0,0,0,382,361,488,318,0
65,57,0,381,361,488,178,0
64,57,0,380,361,488,211,14
63,57,0,379,361,488,169,0
3,2,0,378,361,488,170,0
2,2,0,377,361,488,193,0
8,7,0,376,361,488,548,14
74,76,430,375,359,447,229,0
73,76,430,374,359,447,409,0
2,0,0,373,334,447,274,0
1,0,0,372,334,447,295,0
0,0,0,371,334,447,294,0
62,38,0,370,334,447,166,0
61,38,0,369,334,447,237,0
60,38,0,368,334,447,200,0
59,38,0,367,334,447,168,0
58,38,0,366,334,447,169,0
6,5,0,365,334,447,165,14
5,5,0,364,334,447,153,0
2,1,0,363,333,447,752,0
57,38,0,362,333,447,203,0
56,38,0,361,333,447,190,0
1,1,0,360,333,447,568,14
6,6,0,358,333,447,302,0
4,0,0,357,333,447,258,0
3,0,0,356,333,447,316,0
2,0,0,355,333,447,193,0
1,0,0,354,333,447,261,0
0,0,0,353,333,447,340,0
55,38,0,352,333,447,172,0
54,38,0,351,333,447,174,0
53,38,0,350,333,447,181,0
52,38,0,349,332,447,196,0
51,38,0,348,332,447,168,0
50,38,0,347,332,447,193,0
49,38,0,346,332,447,171,0
48,38,0,345,332,447,149,0
47,38,0,344,332,447,165,0
46,38,0,343,332,447,214,0
45,38,0,342,332,447,177,0
44,38,0,341,332,447,170,0
43,38,0,340,332,447,170,0
42,38,0,339,332,447,322,0
0,0,0,338,331,447,67,0
41,38,0,337,331,447,187,0
40,38,0,336,331,447,158,0
39,38,0,335,331,447,200,0
38,21,0,334,306,422,184,0
37,21,0,333,306,422,161,0
36,21,0,332,306,422,236,0
35,21,0,331,306,422,173,0
34,21,0,330,306,422,181,0
33,21,0,329,306,422,173,0
32,21,0,328,306,422,195,0
31,21,0,327,306,422,215,0
30,21,0,326,306,422,190,0
29,21,0,325,306,422,151,0
28,21,0,324,306,422,151,0
27,21,0,323,306,422,153,0
26,21,0,322,306,422,183,0
25,21,0,321,306,422,262,0
24,20,0,320,305,422,258,0
23,20,0,319,305,422,176,0
22,20,0,318,305,422,165,0
99,98,0,317,305,422,227,0
98,98,0,316,305,422,152,0
0,0,0,315,305,422,162,0
12,12,7,314,293,410,102,0
0,0,0,313,293,406,478,0
2,0,0,312,290,406,17,0
1,0,0,311,290,406,17,0
0,0,0,310,290,406,17,0
0,0,0,309,289,406,220,0
21,13,0,308,289,406,596,14
20,13,0,307,289,406,178,0
19,13,0,306,289,406,179,0
18,13,0,305,289,406,188,0
39,35,0,304,289,406,258,0
17,13,0,303,289,406,179,0
16,13,0,302,289,406,166,0
15,13,0,301,289,406,212,0
14,13,0,300,289,406,179,0
10,6,0,299,289,406,142,0
9,6,0,298,289,406,350,0
13,13,0,297,289,394,335,0
12,8,0,296,258,375,224,0
97,93,0,295,258,373,347,0
11,8,0,294,258,373,183,0
10,8,0,293,258,373,136,0
9,8,0,292,258,372,199,0
8,8,0,291,258,372,174,0
8,0,0,290,258,372,230,0
7,0,0,289,258,372,227,0
72,65,358,288,258,369,703,0
71,65,358,287,258,369,154,14
70,65,358,286,258,369,194,0
69,65,358,285,258,369,202,0
68,65,358,284,258,369,209,0
67,65,358,283,258,369,216,0
66,65,358,282,258,369,191,0
65,65,358,281,258,369,172,0
64,65,358,280,258,369,1269,0
96,93,0,279,258,369,291,0
15,11,0,278,258,369,258,0
14,11,0,277,257,369,130,0
13,11,0,276,257,369,137,0
12,11,0,275,257,369,141,0
11,11,0,274,257,369,145,0
95,93,0,273,257,369,360,0
94,93,0,272,257,369,245,0
93,93,0,271,257,369,169,0
6,0,0,270,256,325,352,0
5,0,0,269,256,325,236,0
4,0,0,268,256,325,246,0
3,0,0,267,256,325,284,0
2,0,0,266,256,325,151,14
3,3,0,265,256,325,227,0
11,10,7,264,214,325,486,0
7,2,0,263,214,325,142,0
0,0,0,262,214,325,350,0
92,78,0,261,214,325,185,0
91,78,0,260,214,325,180,0
90,78,0,259,214,325,145,0
89,78,0,258,211,320,168,0
88,78,0,257,211,320,161,0
87,78,0,256,211,320,162,0
86,78,0,255,211,320,156,0
85,78,0,254,211,320,159,0
84,78,0,253,211,320,171,0
10,8,1,252,211,317,201,0
83,78,0,251,211,317,253,0
82,78,0,250,211,317,163,0
5,4,0,249,211,317,125,0
4,4,0,248,211,317,116,0
81,78,0,247,211,317,168,0
80,78,0,246,211,317,161,0
79,78,0,245,211,317,150,0
6,1,0,244,211,317,156,0
5,1,0,243,211,317,140,0
4,1,0,242,211,317,143,0
3,1,0,241,211,317,161,0
2,1,0,240,211,317,146,0
0,0,0,239,211,317,138,0
10,0,0,238,211,317,143,0
9,0,0,237,211,317,155,0
8,0,0,236,211,317,137,0
7,0,0,235,211,317,145,0
6,0,0,234,211,317,146,0
5,0,0,233,211,317,142,0
4,0,0,232,211,317,137,0
3,0,0,231,211,317,133,0
2,0,0,230,211,317,139,0
1,0,0,229,211,317,141,0
0,0,0,228,211,317,128,0
4,0,0,227,211,317,163,0
3,0,0,226,211,317,172,0
2,0,0,225,211,317,137,0
1,0,0,224,211,317,162,0
