@relation ppsspp
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,14}

@data
4,0,51,9,5,62,186,0
1,0,0,28,12,461,90,0
0,0,0,27,12,439,131,0
4,2,0,33,13,487,245,0
0,0,0,32,13,487,393,14
4,2,2,36,14,519,88,14
0,0,0,35,14,506,56,14
0,0,58,25,11,382,1356,0
0,0,0,39,16,564,374,0
0,0,0,38,16,553,226,0
0,0,0,40,17,588,1042,0
1,1,0,41,17,592,481,14
5,2,38,42,17,593,320,0
0,0,0,43,17,594,44,0
0,0,0,44,17,596,74,0
0,0,0,45,19,634,254,0
2,1,0,46,19,636,2026,0
1,0,0,47,20,666,270,0
3,2,0,48,20,666,6468,0
1,0,0,49,21,672,348,0
0,0,10,50,22,673,302,0
1,0,0,51,22,679,227,14
1,1,11,52,23,683,379,0
1,1,64,53,25,694,320,14
14,2,361,54,25,772,240,0
1,0,0,75,37,1050,167,0
2,0,0,76,37,1051,83,0
2,0,0,78,39,1058,155,0
6,4,0,79,39,1090,530,0
3,2,0,24,11,382,189,14
1,0,0,22,9,321,57,14
7,7,0,81,43,1149,78,0
16,2,393,56,27,811,908,14
18,3,466,72,36,988,160,14
0,0,25,66,30,898,258,14
0,0,0,86,44,1224,254,0
7,3,0,85,44,1212,147,0
3,1,0,105,53,1331,193,0
7,2,0,107,54,1338,145,14
9,0,196,19,8,303,273,14
0,0,0,108,54,1358,73,0
4,1,0,100,51,1300,125,14
1,0,0,104,53,1303,190,0
2,0,0,96,50,1276,206,0
1,1,0,64,30,848,44,14
0,0,0,110,57,1372,1033,14
3,2,0,111,57,1374,133,0
9,8,0,87,46,1240,101,0
8,8,0,84,44,1177,116,14
1,1,0,97,51,1278,138,14
5,2,0,125,62,1528,43,14
6,2,0,126,63,1561,98,0
7,3,0,128,64,1589,166,14
0,0,0,130,64,1649,354,14
20,3,795,131,64,1651,777,14
21,3,795,132,64,1651,578,14
4,2,0,124,62,1528,37,14
5,2,0,135,64,1762,235,14
0,0,6,136,64,1762,130,0
8,4,87,137,65,1762,110,14
22,3,847,138,65,1765,780,14
6,2,0,140,65,1786,90,14
0,0,0,141,65,1797,72,14
5,1,451,142,65,1809,537,14
10,3,0,144,65,1816,172,14
9,4,98,145,65,1828,151,0
12,3,0,147,65,1832,134,14
1,1,0,119,59,1502,618,14
23,3,891,149,65,1863,160,0
0,0,0,151,66,1891,101,0
14,3,0,152,68,1905,93,14
3,1,94,153,68,1908,345,14
4,4,2,93,50,1267,210,14
0,0,0,62,30,840,3066,14
1,0,0,156,68,2003,200,0
0,0,0,156,64,2006,124,14
17,4,925,149,64,2001,92,0
18,4,925,150,64,2001,192,14
7,1,530,151,65,2000,723,14
0,0,0,152,65,1995,123,14
14,9,0,153,66,1994,179,14
19,5,915,154,67,1995,470,14
2,2,0,155,67,1991,115,14
2,0,0,156,67,1984,603,14
15,3,0,156,68,2008,213,14
16,3,0,157,68,2013,92,0
8,1,561,158,68,2016,876,14
0,0,0,159,68,2020,748,0
0,0,0,160,69,2038,192,14
17,3,0,161,69,2038,99,14
20,5,905,162,69,2024,450,14
1,0,32,82,44,1171,53,14
15,9,0,163,70,2023,187,0
18,3,0,164,70,2025,81,14
0,0,0,165,70,2036,167,0
21,5,915,166,70,2048,1471,14
16,10,0,167,71,2056,93,14
0,0,0,169,71,2072,54,14
11,5,125,169,70,2080,101,14
19,3,0,168,71,2056,273,0
1,1,0,168,70,2079,922,0
0,0,0,169,69,2074,1503,14
0,0,0,170,69,2076,212,0
3,2,0,171,69,2080,83,0
12,5,127,172,70,2100,46,14
20,4,0,173,70,2100,48,0
17,10,0,174,70,2100,257,14
13,5,128,175,71,2102,56,0
14,5,128,176,71,2101,112,14
21,5,0,176,72,2105,37,0
22,5,0,177,72,2107,575,14
23,5,0,178,72,2110,247,14
24,6,0,179,73,2112,234,0
22,5,942,181,74,2134,220,14
0,0,0,182,74,2125,147,0
1,0,0,183,74,2124,1287,0
2,1,195,69,33,932,788,14
1,1,0,182,79,2142,583,0
18,10,0,181,81,2161,152,14
19,10,0,181,80,2161,316,14
1,1,0,182,81,2158,39,0
2,2,0,184,82,2158,81,0
7,0,51,12,5,62,86,14
15,6,144,185,82,2141,103,0
25,8,3,185,84,2173,63,0
0,0,2,186,84,2176,69,0
0,0,0,186,84,2180,175,14
3,1,0,99,51,1296,145,14
2,1,0,187,86,2168,65,0
0,0,0,188,86,2165,2607,14
20,5,925,189,86,2168,93,14
21,5,925,190,86,2168,140,0
8,2,646,191,87,2176,223,14
26,9,5,189,86,2214,126,0
3,1,0,190,86,2214,138,14
5,3,0,190,88,2219,135,14
0,0,0,191,88,2222,76,0
16,6,167,192,88,2223,167,0
1,0,0,193,88,2226,158,0
27,11,5,194,90,2239,22,0
0,0,0,195,90,2256,267,14
17,7,170,195,90,2261,308,14
21,7,945,196,92,2267,175,14
1,0,4,196,91,2269,333,0
22,7,947,197,95,2272,420,14
1,0,1,197,97,2282,653,14
2,0,0,199,97,2284,150,0
7,3,0,204,96,2311,90,14
8,2,680,205,96,2310,536,0
30,12,12,206,96,2310,81,14
29,12,12,203,97,2305,150,14
1,0,0,202,97,2294,201,0
2,1,0,207,97,2309,174,0
3,2,0,208,99,2319,267,0
0,0,0,208,99,2316,622,14
1,0,0,208,101,2321,262,14
2,2,0,208,100,2309,126,0
0,0,0,201,97,2294,190,0
4,4,0,207,102,2317,113,0
5,5,0,208,103,2318,230,0
2,0,0,208,103,2333,18961,0
3,0,0,209,103,2333,13908,0
4,0,0,210,103,2333,9767,0
6,5,0,211,112,2337,78,0
0,0,0,212,112,2348,64,0
9,2,716,213,113,2345,123,0
7,5,0,212,113,2353,223,0
8,5,0,213,113,2353,302,0
1,0,0,216,115,2358,849,0
5,3,0,217,115,2358,64251,14
1,0,0,215,115,2359,180,14
0,0,0,218,115,2357,186,14
4,1,0,218,115,2361,264,14
9,6,0,218,115,2361,288,14
10,6,0,219,114,2356,76,0
22,9,1002,219,114,2357,904,14
1,0,0,219,115,2357,49,0
16,10,201,222,114,2375,487,0
10,3,713,223,115,2371,615,14
11,3,713,224,115,2371,928,0
0,0,0,218,115,2364,964,14
23,9,1006,221,114,2372,174,14
0,0,0,224,117,2387,140,0
11,10,0,225,121,2403,273,14
0,0,0,226,125,2404,246,14
0,0,0,227,125,2405,455,0
0,0,0,228,125,2406,307,14
24,9,1033,229,125,2400,251,0
12,5,728,230,126,2398,1973,14
0,0,0,232,126,2396,111,0
17,11,206,233,126,2396,259,14
18,11,206,234,126,2396,201,14
1,1,0,234,125,2365,291,0
0,0,0,235,125,2365,64318,14
