@relation steam-for-linux
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,7}

@data
1,0,0,167,5,10,316,0
0,0,0,153,1,10,729,0
1,0,0,169,7,10,658,0
0,0,0,104,1,7,1600,0
0,0,0,99,1,7,202,0
0,0,0,98,1,7,1029,0
0,0,0,170,10,10,1036,0
0,0,0,171,10,10,155,0
1,0,0,172,10,10,150,0
0,0,0,174,10,10,362,0
0,0,0,175,10,10,136,0
0,0,0,176,10,10,2292,7
0,0,0,95,1,7,2833,0
0,0,0,177,11,10,591,7
0,0,0,178,11,10,3790,0
0,0,0,180,11,10,179,0
2,0,0,181,11,10,3790,0
3,0,0,182,11,10,3790,7
1,0,0,179,11,10,3790,0
0,0,0,183,15,10,446,0
0,0,0,199,18,10,79,0
1,0,0,197,18,10,229,0
1,0,0,206,20,10,860,0
0,0,0,73,0,5,222,0
0,0,0,208,22,10,661,0
0,0,0,210,22,10,690,7
0,0,0,386,36,14,1376,7
0,0,0,387,36,14,2472,7
0,0,0,388,36,14,850,7
0,0,0,384,36,14,662,0
0,0,0,390,37,14,254,7
0,0,0,367,34,14,195,0
0,0,0,86,0,5,184,0
1,0,0,399,39,14,999,7
0,0,0,346,32,14,1554,0
0,0,0,136,1,8,1292,0
0,0,0,272,30,14,210,0
0,0,0,287,30,14,167,0
0,0,0,401,43,14,168,0
2,0,0,402,43,14,404,7
0,0,0,213,23,10,1559,0
0,0,0,403,44,14,473,7
2,0,0,404,44,14,421,0
0,0,0,405,44,14,166,7
0,0,0,407,44,14,572,0
0,0,0,409,44,14,496,0
1,0,0,360,34,14,680,0
1,0,0,411,45,14,1252,0
0,0,0,412,47,14,609,7
0,0,0,107,1,7,450,0
0,0,0,289,30,14,741,0
0,0,0,382,36,14,693,0
0,0,0,413,50,14,145,7
1,0,0,415,50,14,407,0
0,0,0,416,51,14,482,7
1,0,0,417,51,14,153,7
0,0,0,418,52,14,433,7
1,0,0,419,52,14,648,0
2,1,0,421,52,14,213,7
0,0,0,423,53,14,230,7
0,0,0,424,53,14,797,0
0,0,0,149,1,10,140,7
1,0,0,241,28,14,530,0
0,0,0,82,0,5,526,7
4,0,0,106,1,7,727,0
0,0,0,431,60,14,1468,7
2,1,0,432,60,14,807,7
0,0,0,433,60,14,267,7
1,0,0,434,60,14,2460,7
0,0,0,435,60,14,19075,7
0,0,0,440,60,14,1998,7
0,0,0,442,60,14,408,0
