@relation ionic
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {1,7,14,30,90,180,365,1000}
@data
122,88,3,144,107,819,186,1
110,76,3,132,94,773,63,7
124,90,4,147,109,825,51,1
116,81,3,138,99,799,0,1
13,10,21,145,107,819,0,1
102,69,1,123,86,760,13,7
89,63,1,109,78,741,17,7
14,11,26,148,114,834,36,365
125,94,4,149,114,834,50,1
0,0,0,150,116,834,170,1
0,0,0,151,116,837,905,14
1,1,1,152,116,837,103,1
126,98,5,153,120,844,172,1
127,98,5,154,120,844,0,1
128,99,5,155,121,847,7,1
129,99,5,156,121,849,1,1
130,100,5,157,122,858,0,1
131,102,5,158,124,864,0,1
15,11,29,159,126,866,0,1
16,11,31,160,127,880,95,1
86,63,1,106,78,738,128,14
91,63,1,111,78,742,1,14
132,107,8,161,131,899,91,7
133,107,8,162,131,899,1,1
17,13,34,163,131,899,1,1
18,13,39,164,132,908,0,1
42,18,1,51,24,545,104,30
134,109,8,165,133,908,49,90
135,109,8,166,133,908,0,7
136,109,8,167,133,908,0,30
109,73,1,131,91,769,38,7
19,13,39,168,134,908,29,1
137,110,8,169,134,909,0,7
0,0,0,170,137,924,271,1
0,0,0,171,137,924,221,1
138,110,8,172,137,925,27,1
28,11,1,34,17,471,0,90
0,0,0,173,140,926,84,180
20,16,44,174,140,926,1,1
21,17,44,175,142,929,1,7
1,0,0,176,142,932,119,7
0,0,0,177,143,942,373,1
1,0,0,178,143,942,292,7
139,113,14,179,144,959,16,14
0,0,0,180,144,926,0,1
0,0,0,181,144,926,154,14
0,0,0,182,144,927,259,1
0,0,0,183,145,926,303,1
2,1,0,183,147,920,338,14
139,113,23,184,147,916,202,14
140,113,25,185,148,920,416,180
0,0,0,186,148,917,153,1
1,0,0,187,148,918,129,1
0,0,0,188,148,918,331,1
141,113,25,189,149,920,93,1
142,113,25,190,149,921,54,1
5,0,1,10,2,183,119,180
143,113,25,191,149,925,0,14
0,0,0,192,156,931,293,1
144,116,25,193,158,932,90,1
0,0,0,194,160,937,62,180
0,0,0,195,160,937,202,90
1,1,0,196,160,937,179,1
0,0,0,197,160,937,232,1
1,0,0,198,160,937,424,7
0,0,0,199,160,936,246,90
145,118,25,199,162,936,66,7
12,8,21,120,85,758,0,30
144,118,25,194,162,942,96,7
22,19,39,195,162,945,51,1
23,20,39,196,163,945,142,1
0,0,0,197,163,950,856,1
0,0,0,198,163,950,195,1
1,1,1,198,163,945,90,1
0,0,0,199,164,940,300,1
144,118,25,200,165,937,165,1
145,119,29,201,167,940,70,30
1,0,0,202,168,940,548,1
2,1,0,203,171,962,229,90
3,1,0,204,171,962,245,90
103,69,1,124,87,761,0,180
0,0,0,205,171,955,251,1
3,2,16,62,38,625,96,90
8,5,19,92,63,690,49,30
4,1,0,206,174,964,1354,90
0,0,0,207,174,968,754,1
111,77,3,133,95,774,115,30
0,0,0,208,179,976,169,1
0,0,0,209,180,976,183,1
1,1,0,210,182,978,457,90
2,1,0,211,182,978,966,1
0,0,0,212,183,979,311,7
24,23,40,213,183,977,0,1
3,3,1,214,184,983,329,1
25,24,40,215,184,983,0,1
0,0,0,216,184,983,150,1
0,0,0,217,185,983,166,90
1,1,0,218,185,983,531,14
1,0,0,219,185,985,1522,14
76,50,1,93,64,690,65,30
0,0,0,220,186,987,237,90
1,0,0,221,186,987,312,7
146,124,35,222,186,987,163,14
2,0,0,223,186,987,64,14
147,124,35,224,186,987,69,90
0,0,2,225,186,989,314,180
1,0,2,226,186,989,443,1
26,24,40,227,186,989,1055,1
0,0,0,228,187,990,390,1
4,3,1,229,187,991,865,1
5,4,1,230,188,992,328,1
148,124,35,231,188,991,152,90
0,0,0,232,189,993,1578,14
1,0,0,233,189,994,211,90
149,124,36,234,189,996,132,90
3,0,0,235,189,1000,117,90
4,0,0,236,189,1000,14,1
0,0,0,237,189,1001,275,14
5,0,0,238,189,1001,228,1
6,5,2,239,189,1001,121,90
6,0,0,240,189,1001,37,90
150,124,36,241,191,1005,41,7
2,1,2,242,192,1007,166,7
1,0,0,243,193,1008,487,14
151,124,36,244,194,1010,152,7
7,2,0,245,194,1010,282,90
3,1,2,246,194,1010,16,1
8,2,0,247,199,1016,246,90
2,1,0,248,199,1016,476,1
152,126,36,249,200,1018,305,7
0,0,0,250,200,1018,56,1
153,126,36,251,201,1019,61,1
4,2,2,252,201,1019,141,14
0,0,0,253,202,1022,554,7
1,0,0,254,202,1022,775,90
0,0,0,255,202,1022,29,1
27,26,41,256,203,1021,81,7
9,2,0,257,203,1023,534,180
154,127,38,258,203,1023,10,90
155,127,38,259,203,1013,55,1
0,0,0,260,204,1013,194,1
154,128,38,258,205,1005,154,180
155,128,38,259,205,1005,225,90
5,2,2,260,205,1005,166,180
1,1,0,261,205,1005,86,7
0,0,0,262,205,1005,339,1
154,128,38,261,205,1003,23,1
1,1,0,262,205,1003,174,7
1,1,0,261,203,996,152,1
4,2,0,260,201,989,746,1
3,2,0,259,203,989,684,1
0,0,0,260,203,989,133,90
28,26,41,261,204,990,0,1
146,126,39,260,209,1000,58,90
0,0,0,261,210,1004,931,1
29,27,42,262,212,1004,67,90
147,126,40,263,212,1005,68,90
88,63,1,108,78,738,101,90
0,0,0,264,215,1013,173,1
0,0,0,265,217,1010,185,1
0,0,0,266,219,1009,841,90
148,130,41,267,221,1011,37,7
7,6,2,268,222,1015,1085,30
149,130,41,269,222,1017,241,30
30,28,42,270,222,1018,1,90
150,130,41,271,222,1019,201,7
0,0,0,272,224,1027,58,90
0,0,0,273,224,1027,161,30
52,30,1,64,41,630,145,365
151,131,43,274,224,1031,124,30
1,0,0,275,224,1028,266,1
6,3,3,276,225,1028,246,30
108,73,1,130,91,769,109,90
2,1,0,277,232,1027,217,30
0,0,0,278,232,1025,455,180
31,28,42,279,234,1010,85,365
0,0,0,280,234,1010,0,30
1,0,0,281,234,1007,219,30
2,2,0,283,234,978,148,90
32,28,42,284,234,948,82,30
1,1,0,286,234,939,122,14
4,4,0,287,234,916,297,30
0,0,1,288,234,915,147,7
5,4,0,289,234,916,145,14
0,0,0,290,234,906,185,14
0,0,0,291,234,906,670,1
6,4,1,292,235,905,110,7
34,28,42,293,235,904,795,14
149,130,43,293,228,877,0,7
0,0,0,294,228,882,181,14
150,130,45,295,228,886,77,14
151,130,45,296,228,886,134,1
1,1,0,297,229,893,716,90
0,0,0,298,229,889,137,7
1,0,0,296,228,886,16,1
2,1,0,297,229,886,344,180
0,0,0,298,229,887,224,7
149,130,45,299,229,888,291,7
0,0,1,299,229,882,120,1
3,1,0,298,228,879,277,1
7,4,1,299,228,873,1122,14
147,130,47,300,229,882,941,90
1,0,1,301,232,888,1003,90
148,130,49,302,234,890,111,180
2,0,1,303,234,890,275,1
35,28,44,304,234,890,0,1
3,2,0,305,243,894,65,1
4,2,0,306,244,896,258,90
3,1,3,307,245,893,97,7
8,5,1,308,245,893,492,90
36,29,44,309,245,880,561,7
4,1,3,310,245,879,408,1
4,3,0,311,250,889,307,180
0,0,0,312,250,889,651,7
37,30,46,313,254,897,340,7
38,30,46,314,254,897,126,7
0,0,0,315,258,907,1001,1
2,1,0,316,259,910,168,1
149,134,50,317,259,913,0,90
0,0,0,318,260,910,435,30
0,0,0,319,260,910,369,1
1,1,0,320,260,910,151,1
5,3,3,321,260,910,630,365
6,3,3,322,260,910,253,1
5,3,0,320,266,908,719,7
0,0,0,321,266,907,78,1
0,0,0,322,266,906,445,90
7,4,3,320,265,897,551,7
0,0,0,320,265,882,208,1
94,64,1,114,80,746,0,90
115,81,3,137,99,799,0,90
27,11,1,33,17,471,128,180
1,1,0,321,282,890,938,30
0,0,0,322,282,892,521,30
1,0,0,323,282,892,982,7
2,0,0,324,282,892,350,1
39,34,44,325,283,892,0,1
3,2,0,326,284,884,377,30
143,140,50,327,284,884,36,1
8,4,3,328,286,884,951,7
3,1,0,329,286,884,261,14
0,0,3,330,286,888,249,1
0,0,0,331,287,888,655,1
0,0,0,332,287,887,285,1
40,35,44,333,288,888,324,90
41,35,44,334,288,888,351,30
2,1,0,334,290,892,401,30
142,135,51,335,284,893,0,1
143,135,51,336,284,893,1,1
19,9,1,25,15,406,97,365
2,2,0,332,286,904,475,1
140,137,51,333,286,898,269,1
0,0,0,333,287,892,198,1
5,3,0,332,288,886,304,90
139,138,52,335,290,890,178,90
0,0,0,336,290,890,607,14
0,0,0,337,296,894,436,1
140,139,53,338,296,894,223,1
0,0,0,338,296,894,272,30
139,139,53,338,296,894,209,7
0,0,0,339,297,893,172,1
1,1,0,339,298,894,124,1
139,140,53,340,299,894,0,30
140,140,53,341,299,891,0,1
141,141,53,342,300,892,76,1
0,0,0,344,301,883,265,7
142,142,53,344,302,880,21,30
0,0,0,345,302,879,133,7
40,35,44,346,302,873,283,30
1,0,1,347,302,873,675,1
4,2,0,348,302,877,580,30
143,142,53,349,302,871,98,180
144,142,53,350,302,865,110,90
1,0,0,350,295,852,112,1
2,1,1,350,297,852,387,30
5,2,0,353,297,852,302,7
3,0,0,357,298,840,115,1
0,0,0,355,298,840,98,1
2,2,2,354,292,835,80,7
9,6,3,355,292,836,75,1
10,6,3,356,293,836,161,1
11,6,3,357,293,835,518,90
138,131,53,358,293,838,256,90
0,0,0,360,298,844,88,7
0,0,0,361,298,844,536,14
0,0,0,362,300,848,391,7
0,0,0,363,300,846,302,1
138,129,53,362,297,840,80,7
1,1,0,363,298,844,533,14
0,0,0,364,298,844,191,30
1,1,0,365,298,844,218,90
39,32,45,366,298,844,2576,1
3,2,2,367,299,845,63,180
4,1,0,368,300,845,83,1
5,2,0,369,301,845,94,7
0,0,0,370,301,845,195,1
