@relation wet-boew
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {1,7,14,30,90,180,365,1000}
@data
0,1,0,284,235,1269,695,180
8,5,0,270,228,1303,501,365
10,10,237,206,179,1058,99,90
1,0,0,279,235,1161,364,1
20,14,147,280,238,1166,156,1
2,2,0,275,231,1271,312,30
7,6,597,275,230,1310,288,30
5,3,0,244,206,1240,182,90
16,15,78,268,227,1299,238,30
21,14,148,281,238,1168,285,365
20,15,99,282,235,1267,144,180
5,5,597,256,221,1290,1289,90
19,15,0,238,204,1236,225,90
3,1,0,268,244,949,111,1
9,7,0,210,180,1065,723,90
26,19,126,269,247,945,404,365
4,2,0,272,227,981,152,180
6,4,0,271,225,999,122,7
27,19,126,269,244,947,196,1
8,6,0,271,227,984,904,7
0,0,0,280,233,1081,214,7
10,10,219,269,245,952,135,1
3,1,0,270,226,1008,469,180
26,17,127,271,232,1002,2400,1
2,1,0,279,233,1087,425,7
0,0,0,278,236,1149,525,180
9,7,0,266,247,933,273,1
8,8,0,267,246,932,347,14
28,20,132,267,247,926,145,1
9,8,0,265,245,914,911,1
1,1,0,278,231,1095,192,180
0,0,0,278,233,1117,313,7
3,2,0,277,233,1117,1172,7
23,16,148,280,235,1131,285,180
22,16,148,279,235,1132,100,180
0,0,0,277,236,1155,295,7
4,2,0,276,237,1161,101,30
3,2,0,275,237,1161,79,180
10,12,273,282,238,1172,0,30
0,0,0,282,233,1269,376,180
1,1,0,278,228,1275,205,180
18,14,88,277,228,1273,187,365
17,14,88,276,228,1273,260,365
0,0,0,269,227,1299,1137,180
7,7,0,265,226,1294,206,90
11,6,0,265,222,1297,2228,90
0,0,0,264,221,1296,336,180
5,5,27,261,221,1296,406,1000
3,4,0,259,221,1296,325,90
1,0,0,248,217,1271,633,1000
15,15,66,250,213,1270,197,365
0,0,0,253,215,1269,354,1000
0,1,0,252,219,1267,41,180
16,14,66,260,207,1244,412,90
2,0,0,258,207,1236,527,365
0,0,0,251,204,1240,630,90
2,1,0,250,210,1246,254,90
0,0,0,249,210,1249,457,90
13,10,0,230,198,1228,42,180
4,2,0,228,196,1231,256,90
7,7,10,222,193,1216,406,1000
13,11,0,221,189,1143,746,90
5,5,0,217,187,1141,458,180
11,10,273,218,186,1129,0,180
7,5,0,193,148,885,794,180
13,8,160,188,145,850,245,180
6,5,0,175,143,808,455,180
8,3,0,176,143,804,157,180
7,3,0,175,143,804,127,180
9,9,0,147,123,677,631,365
0,0,0,137,110,597,880,365
1,0,0,127,100,495,909,1000
0,0,0,119,93,468,297,365
6,4,0,109,88,404,534,1000
5,5,13,82,60,360,321,365
0,0,0,60,44,259,1435,1
5,4,0,47,36,209,365,1000
0,0,0,17,9,93,269,365
0,0,0,277,231,1096,299,1
0,0,0,277,236,1160,88,1
2,2,0,274,237,1161,200,1
0,0,0,278,235,1161,799,1
9,7,0,282,231,1271,129,7
1,0,0,283,233,1269,482,7
0,0,0,281,232,1269,254,1
0,0,0,280,232,1269,791,1
1,1,0,279,232,1268,93,1
9,5,0,278,232,1268,176,7
19,14,91,276,231,1274,105,1
0,0,0,277,227,1274,501,1
3,2,0,276,229,1279,512,1
2,2,0,275,229,1278,321,1
0,0,0,273,230,1272,910,1
0,0,0,275,233,1288,638,1
15,12,0,276,233,1301,218,1
9,7,593,276,233,1302,0,1
8,6,599,276,230,1312,243,1
12,11,15,274,229,1308,1002,1
2,0,0,273,228,1303,230,1
1,0,0,272,228,1303,739,14
14,11,0,271,228,1303,225,1
7,6,28,267,227,1298,83,1
5,5,4,266,226,1296,84,1
6,5,28,264,226,1293,83,1
6,5,598,267,223,1300,238,1
1,1,0,266,221,1297,282,1
3,0,0,265,221,1298,516,1
0,0,0,263,221,1296,590,1
5,6,0,262,221,1296,229,1
0,0,0,259,221,1296,189,1
10,6,0,258,222,1292,1064,1
9,6,0,257,222,1292,345,1
4,4,595,255,219,1276,36,1
3,3,593,254,218,1270,193,1
6,6,0,254,219,1270,362,7
11,10,15,252,220,1273,422,7
10,9,15,250,218,1273,314,1
5,5,0,249,217,1271,1557,1
8,5,0,252,214,1270,456,7
0,0,0,252,215,1269,217,1
3,4,190,253,221,1271,110,7
15,13,291,252,220,1270,0,1
14,13,290,251,220,1269,118,7
1,1,2,253,219,1268,149,1
0,0,1,252,220,1263,138,1
