@relation Font-Awesome
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {1,7,14,30,90,180,365,1000}
@data
0,0,0,185,126,48,77,365
0,0,0,183,119,33,70,365
0,0,0,156,16,3,114,180
0,0,0,162,20,3,39,180
0,0,0,207,117,38,31,365
0,0,0,165,33,2,273,1
0,0,0,190,127,48,48,365
2,2,0,172,111,48,730,365
0,0,0,130,11,3,47,180
0,0,0,131,11,3,11,180
0,0,0,132,11,3,131,180
0,0,0,139,13,3,259,180
0,0,0,140,14,3,201,180
0,0,0,156,16,3,148,180
0,0,0,154,15,3,37,365
0,0,0,153,15,3,84,180
0,0,0,152,14,3,96,1
0,0,0,152,14,3,328,180
0,0,0,151,15,3,53,180
0,0,0,150,15,3,641,180
0,0,0,147,15,3,167,180
0,0,0,154,18,3,285,180
0,0,0,161,18,3,158,365
0,0,0,161,17,3,171,1
0,0,0,160,17,3,148,180
0,0,0,159,18,3,97,365
0,0,0,163,19,3,158,1
0,0,0,162,19,3,31,180
0,0,0,160,19,3,460,180
0,0,0,167,26,2,90,180
0,0,0,168,29,2,75,365
0,0,0,169,29,2,305,365
3,0,0,171,32,2,45,365
2,0,0,170,32,2,66,365
1,0,0,169,32,2,43,365
0,0,0,167,33,2,56,365
0,0,0,166,33,2,505,180
2,0,0,166,33,2,109,1000
0,0,0,166,33,2,23,365
0,0,0,165,33,2,46,365
0,0,0,163,33,2,666,180
0,0,0,169,34,1,26,365
0,0,0,170,36,1,10,365
0,0,0,176,39,15,77,365
0,0,0,183,41,18,101,365
1,0,0,184,42,18,98,365
0,0,0,181,42,18,547,365
0,0,0,180,44,18,72,365
1,0,0,181,44,18,90,365
0,0,0,182,46,19,65,365
0,0,0,183,67,20,66,365
0,0,0,196,68,25,38,365
0,0,0,200,73,29,86,365
0,0,0,209,118,35,29,365
0,0,0,209,118,38,383,180
0,0,0,209,118,38,68,365
0,0,0,208,118,38,599,365
1,0,0,206,117,38,82,1000
0,0,0,205,117,38,132,365
2,0,0,202,116,40,216,365
0,0,0,199,116,40,50,1000
0,0,0,197,117,40,246,365
0,0,0,197,118,41,96,365
0,0,0,196,118,41,66,365
0,0,0,196,118,41,184,365
0,0,0,194,117,42,280,365
0,0,0,188,116,48,79,365
0,0,0,193,116,48,304,365
0,0,0,190,116,48,34,365
0,0,0,191,116,48,737,365
0,0,0,189,115,48,382,365
0,0,0,187,115,48,161,365
0,0,0,187,115,48,301,365
0,0,0,184,126,48,324,365
0,0,0,183,126,48,69,180
