@relation appium
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {1,7,14,30,90,180,365,1000}
@data
0,0,0,2,0,429,2516,14
0,0,0,4,0,701,1392,7
0,0,0,5,0,705,1957,1
0,0,5,6,0,706,220,1
1,0,5,7,2,720,133,1
2,1,5,8,3,729,119,1
3,1,5,9,3,730,527,1
4,1,5,10,4,733,1225,1
5,3,5,11,6,748,266,14
0,0,2,12,6,748,448,1
0,0,0,13,8,755,3018,1
0,0,0,14,9,758,628,1
6,4,5,15,9,758,63,1
0,0,185,16,9,758,178,1
7,5,5,17,10,759,107,7
1,1,0,18,10,768,176,1
8,6,11,19,14,798,338,7
1,0,46,20,14,799,758,90
9,6,11,21,14,800,190,1
1,1,0,22,15,812,577,1
0,0,7,23,15,813,1598,1
0,0,0,24,15,813,164,7
2,2,3,25,16,823,116,1
10,10,16,26,21,833,143,1
11,10,16,27,21,833,208,1
0,0,350,28,21,833,85,90
12,12,16,29,24,837,36,90
13,12,16,30,24,849,95,90
14,12,16,31,24,852,73,1
15,12,16,32,24,852,92,14
16,12,16,33,24,853,562,1
17,14,17,34,26,901,136,1
1,1,7,37,28,949,3769,1
19,16,18,38,29,952,157,1
20,16,18,39,29,952,108,1
21,16,18,40,29,952,61,1
22,16,18,41,29,952,62,1
23,16,18,42,29,953,71,14
24,16,18,43,29,954,4,1
25,21,20,48,35,964,232,1000
26,21,20,49,35,964,70,1
27,21,20,50,35,964,145,14
2,2,7,51,35,964,0,90
28,22,20,52,36,965,144,1
29,22,20,53,36,967,531,7
0,0,0,54,38,975,0,1
3,3,3,55,39,998,1113,365
30,24,21,56,39,998,283,1
4,3,3,57,40,1008,1301,1
0,0,0,58,42,1020,486,1
31,26,32,59,43,1030,22,7
32,26,32,60,43,1041,262,7
33,26,32,61,43,1041,123,7
2,1,0,62,43,1046,4086,1
3,2,4,63,44,1051,631,1
34,26,34,64,44,1054,216,7
35,28,39,65,47,1062,4,7
36,30,39,66,49,1066,217,1
