@relation framework
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {1,7,14,30,90,180,365,1000}
@data
0,0,0,2,0,3,296,14
0,0,0,3,0,3,475,1
1,0,0,45,2,16,246,30
0,0,0,47,2,18,1282,1
0,0,0,40,2,16,214,90
2,0,0,49,2,19,70,1
1,0,0,53,3,19,241,7
0,0,0,10,1,12,567,7
0,0,0,17,2,12,554,7
0,0,0,7,1,8,704,7
2,0,0,57,6,19,141,1
0,0,0,6,1,4,435,7
0,0,0,32,2,13,181,90
0,0,0,64,9,21,287,1
0,0,0,70,11,22,974,7
0,0,0,73,11,22,403,1
0,0,0,76,12,24,229,1
0,0,0,77,13,24,498,1
0,0,0,78,13,24,341,90
0,0,0,5,1,4,537,90
0,0,0,11,1,12,1168,1
0,0,0,79,13,26,663,1
0,0,0,23,2,12,459,14
4,0,0,82,16,27,218,1
1,0,0,67,10,21,295,7
2,0,0,39,2,16,271,14
0,0,0,27,2,13,489,14
0,0,0,30,2,13,239,14
0,0,1,15,2,12,260,30
0,0,0,94,27,28,374,90
2,0,0,34,2,13,271,30
0,0,0,100,28,36,361,90
2,0,0,103,28,38,645,1
0,0,0,46,2,18,603,30
0,0,0,105,29,39,289,1
0,0,0,108,29,39,908,7
1,0,0,109,29,39,734,1
0,0,0,110,29,39,562,1
3,1,0,111,30,39,288,14
2,0,0,113,30,39,478,1
3,0,0,114,30,39,434,1
0,0,0,115,33,40,214,7
4,0,0,118,34,42,393,1
0,0,0,121,34,45,105,1
2,0,0,122,35,45,136,1
0,0,0,123,35,45,612,1
1,0,1,124,35,45,654,1
1,1,0,125,36,45,408,1
0,0,0,120,34,45,315,1
0,0,0,127,37,46,506,1
1,0,0,128,37,46,11,1
0,0,0,129,37,46,682,1
2,1,0,98,28,30,155,7
1,1,0,131,47,48,858,1
0,0,0,132,47,48,122,1
2,1,1,134,47,48,244,1
3,1,1,135,47,48,441,1
0,0,0,138,47,48,109,1
6,1,3,139,47,48,156,1
0,0,0,140,48,48,450,1
1,1,0,141,48,48,350,1
