@relation hd
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {1,7,14,30,90,180,365,1000}
@data
61,81,0,345,359,321,312,7
2,1,0,418,410,512,389,14
26,25,383,384,390,399,281,180
20,25,383,378,390,399,513,30
7,6,0,359,333,447,326,90
23,18,0,391,385,399,205,1
22,18,0,390,390,399,412,1
21,18,0,389,390,399,245,1
20,18,0,388,390,399,461,1
19,18,0,387,390,399,180,1
18,18,0,386,390,399,189,1
27,25,383,385,390,399,268,1
25,25,383,383,390,399,390,1
24,25,383,382,390,399,279,1
23,25,383,381,390,399,257,1
22,25,383,380,390,399,213,1
19,25,383,377,390,399,242,1
17,9,0,450,443,509,187,7
16,9,0,451,444,512,207,7
15,9,0,450,444,512,202,7
14,9,0,449,444,512,304,14
13,9,0,448,444,512,202,14
12,9,0,447,444,512,221,14
11,9,0,446,444,512,227,14
10,9,0,445,444,512,387,14
9,9,0,444,444,512,173,14
0,0,0,443,412,512,0,1
8,0,0,442,412,512,197,1
7,0,0,441,412,512,332,1
6,0,0,440,412,512,224,1
5,0,0,439,412,512,334,1
4,0,0,438,412,512,392,1
3,0,0,437,412,512,313,1
2,0,0,436,412,512,295,1
1,0,0,435,412,512,242,1
0,0,0,434,412,512,219,1
21,16,0,433,410,512,257,7
20,16,0,432,410,512,257,1
19,16,0,431,410,512,214,1
18,16,0,430,410,512,259,7
17,16,0,429,410,512,295,7
16,16,0,428,410,512,234,7
1,0,0,427,410,512,245,7
0,0,0,426,410,512,250,7
104,101,0,425,410,512,169,7
7,6,0,424,410,512,213,7
103,101,0,423,410,512,177,7
102,101,0,422,410,512,285,14
101,101,0,421,410,512,148,14
0,0,0,420,410,512,241,30
66,65,0,419,410,512,208,14
6,6,0,417,410,512,241,14
1,1,0,416,410,512,92,14
80,79,495,415,403,512,334,1
79,79,495,414,403,512,261,1
78,79,495,413,403,512,298,1
77,79,495,412,403,512,244,1
76,79,495,411,403,512,314,1
7,6,0,410,388,512,291,7
2,0,0,409,388,512,265,7
1,0,0,408,388,512,235,7
0,0,0,407,388,512,274,7
6,4,0,406,388,512,146,14
0,0,0,405,388,512,495,14
2,1,0,404,388,512,251,14
1,1,0,403,388,512,361,30
5,4,0,402,387,512,283,90
0,0,0,401,387,512,292,1
8,7,0,400,387,512,369,30
7,7,0,399,387,512,153,30
4,4,0,398,387,512,220,30
4,3,0,397,387,512,138,30
3,3,0,396,387,512,236,30
0,0,0,395,387,512,806,90
2,0,0,394,384,512,231,1
1,0,0,393,384,512,204,1
0,0,0,392,384,512,217,1
75,78,492,391,384,509,85,30
100,100,0,390,363,488,146,1
6,4,0,389,362,488,337,1
5,4,0,388,362,488,354,1
4,4,0,387,362,488,313,7
3,1,0,386,361,488,315,7
0,0,0,385,361,488,352,1
5,2,0,384,361,488,162,7
4,2,0,383,361,488,41,7
0,0,0,382,361,488,318,1
65,57,0,381,361,488,178,7
64,57,0,380,361,488,211,30
63,57,0,379,361,488,169,7
3,2,0,378,361,488,170,7
2,2,0,377,361,488,193,7
8,7,0,376,361,488,548,90
74,76,430,375,359,447,229,7
73,76,430,374,359,447,409,1
2,0,0,373,334,447,274,1
1,0,0,372,334,447,295,14
0,0,0,371,334,447,294,14
62,38,0,370,334,447,166,14
61,38,0,369,334,447,237,14
60,38,0,368,334,447,200,14
59,38,0,367,334,447,168,14
58,38,0,366,334,447,169,14
6,5,0,365,334,447,165,90
5,5,0,364,334,447,153,14
2,1,0,363,333,447,752,1
57,38,0,362,333,447,203,7
56,38,0,361,333,447,190,7
1,1,0,360,333,447,568,30
6,6,0,358,333,447,302,7
4,0,0,357,333,447,258,7
3,0,0,356,333,447,316,14
2,0,0,355,333,447,193,7
1,0,0,354,333,447,261,7
0,0,0,353,333,447,340,7
55,38,0,352,333,447,172,7
54,38,0,351,333,447,174,7
53,38,0,350,333,447,181,7
52,38,0,349,332,447,196,7
51,38,0,348,332,447,168,7
50,38,0,347,332,447,193,7
49,38,0,346,332,447,171,7
48,38,0,345,332,447,149,7
47,38,0,344,332,447,165,7
46,38,0,343,332,447,214,7
45,38,0,342,332,447,177,7
44,38,0,341,332,447,170,7
43,38,0,340,332,447,170,7
42,38,0,339,332,447,322,7
0,0,0,338,331,447,67,1
41,38,0,337,331,447,187,7
40,38,0,336,331,447,158,7
39,38,0,335,331,447,200,7
38,21,0,334,306,422,184,1
37,21,0,333,306,422,161,1
36,21,0,332,306,422,236,1
35,21,0,331,306,422,173,1
34,21,0,330,306,422,181,1
33,21,0,329,306,422,173,1
32,21,0,328,306,422,195,1
31,21,0,327,306,422,215,1
30,21,0,326,306,422,190,1
29,21,0,325,306,422,151,1
28,21,0,324,306,422,151,1
27,21,0,323,306,422,153,1
26,21,0,322,306,422,183,1
25,21,0,321,306,422,262,1
24,20,0,320,305,422,258,1
23,20,0,319,305,422,176,1
22,20,0,318,305,422,165,1
99,98,0,317,305,422,227,1
98,98,0,316,305,422,152,1
0,0,0,315,305,422,162,7
12,12,7,314,293,410,102,7
0,0,0,313,293,406,478,1
2,0,0,312,290,406,17,1
1,0,0,311,290,406,17,1
0,0,0,310,290,406,17,1
0,0,0,309,289,406,220,1
21,13,0,308,289,406,596,90
20,13,0,307,289,406,178,1
19,13,0,306,289,406,179,7
18,13,0,305,289,406,188,7
39,35,0,304,289,406,258,7
17,13,0,303,289,406,179,7
16,13,0,302,289,406,166,7
15,13,0,301,289,406,212,7
14,13,0,300,289,406,179,7
10,6,0,299,289,406,142,14
9,6,0,298,289,406,350,7
13,13,0,297,289,394,335,7
12,8,0,296,258,375,224,1
97,93,0,295,258,373,347,1
11,8,0,294,258,373,183,1
10,8,0,293,258,373,136,1
9,8,0,292,258,372,199,1
8,8,0,291,258,372,174,1
8,0,0,290,258,372,230,1
7,0,0,289,258,372,227,1
72,65,358,288,258,369,703,1
71,65,358,287,258,369,154,30
70,65,358,286,258,369,194,1
69,65,358,285,258,369,202,1
68,65,358,284,258,369,209,1
67,65,358,283,258,369,216,1
66,65,358,282,258,369,191,1
65,65,358,281,258,369,172,1
64,65,358,280,258,369,1269,7
96,93,0,279,258,369,291,1
15,11,0,278,258,369,258,1
14,11,0,277,257,369,130,1
13,11,0,276,257,369,137,1
12,11,0,275,257,369,141,1
11,11,0,274,257,369,145,1
95,93,0,273,257,369,360,1
94,93,0,272,257,369,245,1
93,93,0,271,257,369,169,1
6,0,0,270,256,325,352,1
5,0,0,269,256,325,236,1
4,0,0,268,256,325,246,1
3,0,0,267,256,325,284,1
2,0,0,266,256,325,151,90
3,3,0,265,256,325,227,1
11,10,7,264,214,325,486,1
7,2,0,263,214,325,142,1
0,0,0,262,214,325,350,1
92,78,0,261,214,325,185,1
91,78,0,260,214,325,180,1
90,78,0,259,214,325,145,1
89,78,0,258,211,320,168,1
88,78,0,257,211,320,161,1
87,78,0,256,211,320,162,1
86,78,0,255,211,320,156,1
85,78,0,254,211,320,159,1
84,78,0,253,211,320,171,1
10,8,1,252,211,317,201,1
83,78,0,251,211,317,253,7
82,78,0,250,211,317,163,7
5,4,0,249,211,317,125,7
4,4,0,248,211,317,116,7
81,78,0,247,211,317,168,7
80,78,0,246,211,317,161,7
79,78,0,245,211,317,150,7
6,1,0,244,211,317,156,7
5,1,0,243,211,317,140,7
4,1,0,242,211,317,143,1
3,1,0,241,211,317,161,7
2,1,0,240,211,317,146,7
0,0,0,239,211,317,138,7
10,0,0,238,211,317,143,7
9,0,0,237,211,317,155,7
8,0,0,236,211,317,137,7
7,0,0,235,211,317,145,7
6,0,0,234,211,317,146,7
5,0,0,233,211,317,142,7
4,0,0,232,211,317,137,7
3,0,0,231,211,317,133,7
2,0,0,230,211,317,139,7
1,0,0,229,211,317,141,7
0,0,0,228,211,317,128,7
4,0,0,227,211,317,163,7
3,0,0,226,211,317,172,7
2,0,0,225,211,317,137,7
1,0,0,224,211,317,162,14
0,0,0,223,211,317,146,7
1,1,0,222,211,307,140,7
9,0,1,221,180,288,167,1
8,0,1,220,180,288,238,1
7,0,1,219,180,288,253,1
6,0,1,218,180,288,182,1
5,0,1,217,180,288,121,1
4,0,1,216,180,288,116,1
78,62,0,215,180,288,210,1
77,62,0,214,180,288,158,1
76,62,0,213,180,288,158,1
75,62,0,212,180,288,383,1
74,62,0,211,180,288,278,1
73,62,0,210,180,288,157,1
72,62,0,209,180,288,160,1
71,62,0,208,180,288,300,1
70,62,0,207,180,288,168,1
69,62,0,206,180,288,154,1
68,62,0,205,180,288,170,1
67,62,0,204,180,288,159,1
66,62,0,203,180,288,177,1
65,62,0,202,180,288,189,1
64,62,0,201,180,288,182,1
63,62,0,200,180,288,168,1
3,0,1,199,180,288,514,7
2,0,1,198,180,288,188,1
1,0,1,197,180,288,151,1
0,0,0,196,180,288,125,1
38,24,0,195,164,271,41,1
62,52,0,194,164,271,186,1
61,52,0,193,164,271,177,1
60,52,0,192,164,271,180,1
59,52,0,191,164,271,178,1
58,52,0,190,164,271,170,1
57,52,0,189,164,271,171,1
56,52,0,188,164,271,188,1
55,52,0,187,164,271,191,1
54,52,0,186,164,271,194,1
53,52,0,185,164,271,181,1
37,24,0,184,164,271,152,90
36,24,0,183,164,271,138,90
35,24,0,182,164,271,134,14
34,24,0,181,164,271,223,7
33,24,0,180,164,270,136,1
32,24,0,179,164,267,167,1
31,24,0,178,164,267,167,1
30,24,0,177,164,267,167,1
29,24,0,176,164,262,168,1
0,0,1,175,148,191,206,7
52,24,0,174,108,191,163,1
28,2,0,173,108,191,171,7
27,2,0,172,108,191,144,90
26,2,0,171,108,191,251,7
25,2,0,170,108,191,155,7
24,2,0,169,108,191,143,1
23,2,0,168,108,191,263,1
22,2,0,167,108,191,130,1
21,2,0,166,108,191,144,1
20,2,0,165,108,191,132,1
19,2,0,164,108,191,126,1
51,24,0,163,108,191,165,1
18,2,0,162,108,191,131,1
17,2,0,161,108,191,89,1
16,2,0,160,108,191,128,1
50,24,0,159,108,191,172,1
15,2,0,158,108,191,201,1
49,24,0,157,108,191,195,1
48,24,0,156,108,191,250,1
47,24,0,155,108,191,165,1
14,1,0,154,107,191,0,1
46,24,0,153,107,191,161,1
45,24,0,152,107,190,167,1
44,24,0,151,107,190,210,1
43,24,0,150,107,190,161,1
13,1,0,149,107,190,163,1
12,1,0,148,107,190,165,1
42,24,0,147,107,190,148,1
63,63,186,146,107,190,178,1
41,24,0,145,107,190,167,1
40,24,0,144,107,190,253,1
11,1,0,143,107,190,77,1
10,1,0,142,107,190,77,1
9,1,0,141,107,190,68,1
39,24,0,140,107,190,162,1
8,1,0,139,107,190,89,1
38,24,0,138,107,190,165,7
37,24,0,137,107,190,172,1
7,1,0,136,107,190,94,1
6,1,0,135,107,190,131,1
5,1,0,134,107,190,154,1
36,24,0,133,107,190,187,1
35,24,0,132,106,190,192,1
34,24,0,131,104,190,163,1
4,0,0,130,104,190,98,1
