@relation ppsspp
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {1,7,14,30,90,180,365,1000}
@data
4,0,51,9,5,62,186,14
1,0,0,28,12,461,90,1
0,0,0,27,12,439,131,7
4,2,0,33,13,487,245,7
0,0,0,32,13,487,393,90
4,2,2,36,14,519,88,180
0,0,0,35,14,506,56,180
0,0,58,25,11,382,1356,14
0,0,0,39,16,564,374,1
0,0,0,38,16,553,226,7
0,0,0,40,17,588,1042,1
1,1,0,41,17,592,481,30
5,2,38,42,17,593,320,1
0,0,0,43,17,594,44,14
0,0,0,44,17,596,74,7
0,0,0,45,19,634,254,14
2,1,0,46,19,636,2026,1
1,0,0,47,20,666,270,7
3,2,0,48,20,666,6468,1
1,0,0,49,21,672,348,14
0,0,10,50,22,673,302,1
1,0,0,51,22,679,227,90
1,1,11,52,23,683,379,1
1,1,64,53,25,694,320,365
14,2,361,54,25,772,240,7
1,0,0,75,37,1050,167,1
2,0,0,76,37,1051,83,1
2,0,0,78,39,1058,155,1
6,4,0,79,39,1090,530,1
3,2,0,24,11,382,189,90
1,0,0,22,9,321,57,90
7,7,0,81,43,1149,78,1
16,2,393,56,27,811,908,90
18,3,466,72,36,988,160,1000
0,0,25,66,30,898,258,1000
0,0,0,86,44,1224,254,1
7,3,0,85,44,1212,147,1
3,1,0,105,53,1331,193,1
7,2,0,107,54,1338,145,180
9,0,196,19,8,303,273,1000
0,0,0,108,54,1358,73,1
4,1,0,100,51,1300,125,90
1,0,0,104,53,1303,190,1
2,0,0,96,50,1276,206,1
1,1,0,64,30,848,44,30
0,0,0,110,57,1372,1033,180
3,2,0,111,57,1374,133,1
9,8,0,87,46,1240,101,7
8,8,0,84,44,1177,116,180
1,1,0,97,51,1278,138,90
5,2,0,125,62,1528,43,180
6,2,0,126,63,1561,98,1
7,3,0,128,64,1589,166,90
0,0,0,130,64,1649,354,90
20,3,795,131,64,1651,777,1000
21,3,795,132,64,1651,578,90
4,2,0,124,62,1528,37,90
5,2,0,135,64,1762,235,1000
0,0,6,136,64,1762,130,1
8,4,87,137,65,1762,110,90
22,3,847,138,65,1765,780,365
6,2,0,140,65,1786,90,90
0,0,0,141,65,1797,72,90
5,1,451,142,65,1809,537,90
10,3,0,144,65,1816,172,180
9,4,98,145,65,1828,151,7
12,3,0,147,65,1832,134,1000
1,1,0,119,59,1502,618,30
23,3,891,149,65,1863,160,1
0,0,0,151,66,1891,101,1
14,3,0,152,68,1905,93,180
3,1,94,153,68,1908,345,90
4,4,2,93,50,1267,210,90
0,0,0,62,30,840,3066,90
1,0,0,156,68,2003,200,7
0,0,0,156,64,2006,124,365
17,4,925,149,64,2001,92,1
18,4,925,150,64,2001,192,90
7,1,530,151,65,2000,723,1000
0,0,0,152,65,1995,123,30
14,9,0,153,66,1994,179,30
19,5,915,154,67,1995,470,30
2,2,0,155,67,1991,115,90
2,0,0,156,67,1984,603,1000
15,3,0,156,68,2008,213,30
16,3,0,157,68,2013,92,14
8,1,561,158,68,2016,876,90
0,0,0,159,68,2020,748,1
0,0,0,160,69,2038,192,90
17,3,0,161,69,2038,99,180
20,5,905,162,69,2024,450,365
1,0,32,82,44,1171,53,90
15,9,0,163,70,2023,187,1
18,3,0,164,70,2025,81,90
0,0,0,165,70,2036,167,14
21,5,915,166,70,2048,1471,180
16,10,0,167,71,2056,93,180
0,0,0,169,71,2072,54,180
11,5,125,169,70,2080,101,30
19,3,0,168,71,2056,273,1
1,1,0,168,70,2079,922,7
0,0,0,169,69,2074,1503,180
0,0,0,170,69,2076,212,7
3,2,0,171,69,2080,83,1
12,5,127,172,70,2100,46,180
20,4,0,173,70,2100,48,1
17,10,0,174,70,2100,257,365
13,5,128,175,71,2102,56,1
14,5,128,176,71,2101,112,90
21,5,0,176,72,2105,37,1
22,5,0,177,72,2107,575,30
23,5,0,178,72,2110,247,365
24,6,0,179,73,2112,234,7
22,5,942,181,74,2134,220,180
0,0,0,182,74,2125,147,7
1,0,0,183,74,2124,1287,1
2,1,195,69,33,932,788,90
1,1,0,182,79,2142,583,1
18,10,0,181,81,2161,152,365
19,10,0,181,80,2161,316,180
1,1,0,182,81,2158,39,1
2,2,0,184,82,2158,81,1
7,0,51,12,5,62,86,365
15,6,144,185,82,2141,103,7
25,8,3,185,84,2173,63,7
0,0,2,186,84,2176,69,1
0,0,0,186,84,2180,175,30
3,1,0,99,51,1296,145,1000
2,1,0,187,86,2168,65,14
0,0,0,188,86,2165,2607,90
20,5,925,189,86,2168,93,90
21,5,925,190,86,2168,140,7
8,2,646,191,87,2176,223,180
26,9,5,189,86,2214,126,1
3,1,0,190,86,2214,138,1000
5,3,0,190,88,2219,135,90
0,0,0,191,88,2222,76,14
16,6,167,192,88,2223,167,1
1,0,0,193,88,2226,158,7
27,11,5,194,90,2239,22,14
0,0,0,195,90,2256,267,365
17,7,170,195,90,2261,308,180
21,7,945,196,92,2267,175,365
1,0,4,196,91,2269,333,1
22,7,947,197,95,2272,420,365
1,0,1,197,97,2282,653,365
2,0,0,199,97,2284,150,14
7,3,0,204,96,2311,90,90
8,2,680,205,96,2310,536,1
30,12,12,206,96,2310,81,90
29,12,12,203,97,2305,150,90
1,0,0,202,97,2294,201,1
2,1,0,207,97,2309,174,1
3,2,0,208,99,2319,267,1
0,0,0,208,99,2316,622,365
1,0,0,208,101,2321,262,180
2,2,0,208,100,2309,126,1
0,0,0,201,97,2294,190,7
4,4,0,207,102,2317,113,1
5,5,0,208,103,2318,230,7
2,0,0,208,103,2333,18961,1
3,0,0,209,103,2333,13908,1
4,0,0,210,103,2333,9767,1
6,5,0,211,112,2337,78,7
0,0,0,212,112,2348,64,1
9,2,716,213,113,2345,123,1
7,5,0,212,113,2353,223,7
8,5,0,213,113,2353,302,1
1,0,0,216,115,2358,849,7
5,3,0,217,115,2358,64251,90
1,0,0,215,115,2359,180,180
0,0,0,218,115,2357,186,90
4,1,0,218,115,2361,264,365
9,6,0,218,115,2361,288,90
10,6,0,219,114,2356,76,1
22,9,1002,219,114,2357,904,1000
1,0,0,219,115,2357,49,1
16,10,201,222,114,2375,487,7
10,3,713,223,115,2371,615,30
11,3,713,224,115,2371,928,1
0,0,0,218,115,2364,964,90
23,9,1006,221,114,2372,174,365
0,0,0,224,117,2387,140,1
11,10,0,225,121,2403,273,90
0,0,0,226,125,2404,246,365
0,0,0,227,125,2405,455,1
0,0,0,228,125,2406,307,365
24,9,1033,229,125,2400,251,14
12,5,728,230,126,2398,1973,90
0,0,0,232,126,2396,111,1
17,11,206,233,126,2396,259,30
18,11,206,234,126,2396,201,90
1,1,0,234,125,2365,291,1
0,0,0,235,125,2365,64318,90
0,0,0,232,123,2358,41,180
22,9,991,230,124,2351,719,180
23,9,988,231,124,2347,662,1
1,0,0,232,124,2346,33,1
2,0,0,233,124,2343,121,90
3,0,0,234,125,2344,76,1
0,0,0,235,127,2346,486,365
0,0,0,237,127,2316,446,90
2,1,5,240,124,2307,420,180
1,0,0,243,122,2267,1762,365
0,0,143,240,122,2218,259,365
1,0,0,242,121,2206,280,180
13,5,642,244,122,2208,310,1000
29,16,18,250,125,2213,68,180
6,3,0,200,97,2284,269,30
12,5,693,243,124,2283,2123,1000
30,16,20,256,135,2224,190,90
7,4,1,259,136,2226,449,1000
8,4,1,261,136,2226,847,1000
15,5,647,262,135,2229,163,90
31,16,20,265,138,2254,309,90
4,2,3,265,138,2252,175,90
10,5,1,266,138,2251,255,180
11,5,1,267,138,2251,137,180
0,0,0,269,139,2251,550,180
14,9,0,274,140,2244,63,1
5,3,0,275,143,2245,114,90
2,0,1,239,125,2308,489,180
1,1,5,274,140,2251,287,365
6,6,0,276,143,2257,795,365
19,11,216,278,147,2257,632,90
1,0,152,279,147,2257,99,1000
1,0,0,280,146,2255,242,90
0,0,0,279,146,2254,589,90
2,0,0,279,146,2256,560,365
0,0,0,280,146,2256,630,90
2,0,0,278,145,2254,415,30
2,0,0,277,148,2255,350,1
0,0,0,275,146,2253,505,365
2,1,0,276,146,2254,364,365
3,1,0,277,146,2254,328,365
4,1,0,278,146,2253,233,30
5,1,0,279,146,2250,216,365
0,0,5,280,147,2248,282,365
3,1,0,280,152,2236,377,365
2,1,2,283,150,2237,671,1
32,16,22,282,149,2230,208,90
0,0,0,282,149,2233,2,180
8,5,0,346,183,2520,127,90
28,11,5,195,90,2238,173,90
0,0,0,339,178,2528,645,180
8,5,5,348,183,2516,390,1
0,0,0,349,183,2516,219,1
6,4,0,299,158,2310,334,7
2,0,0,343,182,2517,284,1
0,0,1,349,187,2519,69,1
30,16,22,349,188,2529,216,7
0,0,0,241,124,2290,358,180
3,2,0,323,170,2559,259,7
7,6,0,344,182,2518,230,90
0,0,0,306,161,2357,30,1000
1,0,0,292,154,2225,182,90
5,3,0,283,155,2198,851,30
0,0,0,347,189,2534,152,180
1,1,0,349,189,2543,254,1
1,1,0,350,190,2548,157,180
0,0,0,321,169,2525,1102,90
31,16,23,352,191,2553,92,1
10,6,0,353,192,2551,117,90
3,2,0,354,192,2554,470,30
1,0,0,355,192,2559,176,365
11,6,0,356,192,2564,101,30
15,8,741,313,168,2482,1232,7
16,10,731,356,193,2563,255,7
6,3,0,316,169,2484,378,180
0,0,0,357,193,2564,106,30
20,11,977,330,174,2546,702,90
2,0,0,304,160,2318,393,180
4,0,0,357,194,2567,9170,365
0,0,0,358,194,2566,123,7
1,1,0,319,169,2510,424,14
7,4,0,358,194,2564,68,1
0,0,1,235,127,2316,166,365
0,0,0,358,196,2570,290,180
2,2,2,358,196,2570,238,7
3,2,2,359,196,2570,179,7
10,7,0,359,196,2565,119,1
29,18,26,360,196,2566,22,1
