@relation PushSharp
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen integer
@data
0,0,0,16,1,53,415,90
0,0,0,16,1,53,1821,90
1,0,0,17,1,53,1057,90
0,0,0,9,0,79,479,1
2,0,56,8,0,60,96,180
0,0,0,16,1,58,3405,30
0,0,0,15,5,20,1259,1
0,0,0,16,5,20,1028,7
1,0,0,17,7,10,446,90
0,0,0,19,7,2,516,1
0,0,0,18,7,3,926,7
0,0,0,17,7,10,557,14
0,0,0,18,10,3,483,1
0,0,0,21,13,3,294,30
1,0,0,18,10,3,598,14
0,0,0,19,10,3,1016,1
0,0,0,20,10,3,889,7
0,0,0,21,15,6,754,1
1,1,0,22,16,9,622,1
0,0,0,21,17,13,212,1
1,0,0,22,17,13,236,14
0,0,0,23,18,18,104,1
0,0,0,24,18,19,192,7
2,2,0,25,18,19,809,1
0,0,0,26,18,19,177,1
0,0,0,27,19,20,919,7
0,0,0,28,19,20,314,1
0,0,0,29,21,21,1387,7
0,0,0,30,21,21,113,7
2,1,0,31,25,21,572,1
0,0,0,32,27,22,241,1
1,0,0,33,27,22,270,1
0,0,0,34,30,30,545,30
0,0,0,35,30,30,459,30
0,0,0,36,30,31,889,1
0,0,0,37,31,31,1704,7
0,0,0,38,31,32,936,14
1,1,0,39,27,35,313,1
0,0,0,40,27,35,0,14
1,1,0,38,28,75,1663,7
0,0,0,38,28,75,0,7
1,0,0,15,1,58,345,180
0,0,0,38,30,85,432,1
0,0,0,19,10,3,503,1
0,0,0,40,37,88,25,1
1,1,0,40,38,88,530,1
0,0,0,41,38,88,288,1
0,0,0,42,38,88,361,1
0,0,0,43,38,88,529,1
0,0,0,43,42,95,748,30
0,0,0,44,42,96,858,7
0,0,0,46,42,100,537,14
0,0,0,47,42,100,424,1
0,0,0,48,45,101,974,1
0,0,0,45,42,100,331,1
0,0,0,48,43,100,1520,7
1,1,0,49,43,100,1199,1
0,0,0,50,43,100,394,1
0,0,0,51,43,100,279,1
0,0,0,52,46,100,6400,1
0,0,0,53,46,100,342,1
1,1,0,54,48,100,426,7
2,2,0,57,48,100,828,7
0,0,0,58,48,100,451,1
1,0,0,59,48,100,763,1
2,1,0,55,48,100,277,7
