@relation fuzzy-octo-tribble
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen integer
@data
0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1
2,0,0,2,0,0,0,1
3,0,0,3,0,0,0,1
4,0,0,4,0,0,79,1
5,0,0,5,0,0,0,1
6,0,0,6,0,0,0,1
7,0,0,7,0,0,0,1
8,0,0,8,0,0,0,1
9,0,0,9,0,0,0,1
10,0,0,10,0,0,0,1
11,0,0,11,0,0,0,1
12,0,0,12,0,0,0,1
13,0,0,13,0,0,0,1
16,7,7,16,7,7,98,90
18,11,11,18,11,11,0,1
19,11,11,19,11,11,65,1
20,11,11,20,11,11,0,1
21,11,11,21,11,11,0,1
22,11,11,22,11,11,0,1
23,11,11,23,11,11,0,1
24,11,11,24,11,11,0,1
25,11,11,25,11,11,0,1
26,11,11,26,11,11,0,1
27,11,11,27,11,11,54,1
28,15,16,28,15,16,0,1
29,15,16,29,15,16,0,90
30,16,17,30,16,17,0,1
31,16,17,31,16,17,0,1
32,16,17,32,16,17,37,7
33,16,17,33,16,17,0,1
34,16,17,34,16,17,24,1
35,16,17,35,16,17,0,1
36,16,17,36,16,17,0,1
37,16,17,37,16,17,0,90
38,16,17,38,16,17,0,90
39,16,17,39,16,17,0,90
41,16,17,41,16,17,0,90
42,16,17,42,16,17,0,90
44,16,17,44,16,17,0,90
45,16,17,45,16,17,0,90
46,16,17,46,16,17,0,90
47,16,17,47,16,17,0,90
48,16,17,48,16,17,0,90
49,19,17,49,19,17,77,14
50,19,17,50,19,17,0,1
51,22,20,51,22,20,0,14
52,27,25,52,27,25,0,1
53,29,26,53,29,26,0,90
55,30,28,55,30,28,0,1
57,34,32,57,34,32,0,1
58,34,32,58,34,32,0,1
59,34,32,59,34,32,0,1
60,34,32,60,34,32,0,1
61,34,32,61,34,32,0,1
62,34,32,62,34,32,0,1
63,34,32,63,34,32,0,1
64,34,32,64,34,32,38,1
65,34,32,65,34,32,0,1
66,34,32,66,34,32,0,1
67,39,36,67,39,36,0,1
68,39,36,68,39,36,110,1
69,43,40,69,43,40,0,1
70,43,40,70,43,40,0,1
71,43,40,71,43,40,0,1
72,43,40,72,43,40,0,1
73,43,40,73,43,40,0,1
74,43,40,74,43,40,0,1
75,43,40,75,43,40,0,7
76,43,40,76,43,40,0,1
